User_ID,Tweet_ID,Tweet,Label
Pragyaa,246,the #farmlaws brought by the centre will finish the farmers of the country. farmers have started a massive agitation in north india &amp; #bharatbandh was announced for today. mumbai dabbawala association supports the bandh: subhash talekar  president  mumbai dabbawala association https://t.co/lokjpcvvbc,Hateful
Pragyaa,126,i had not believed the hype of bjp in ghmc until i saw ktr in tv 9 studio :),Non-Hateful
Pragyaa,89,@lallantop please watch videos of farmers protest  specially on lallantop. we will not need bollywood movies at all.it is easy to #boycottbollywood if you follow lallantop vdos.😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏😏,Hateful
Pragyaa,240,@thatavinash @gursewakpannu12 @vaunsag when you spoke about adani  ambani understood it is you who read whatsapp forwards....the same parties that suggested these laws are opposing now ....i dont see farmers from my region and south india are not protesting at all nor from the other states you mentioned..why sikh flag,Non-Hateful
Pragyaa,435,now that ap government want to postpone local elections  @bjp4andhra should buse this time to prepare. https://t.co/znj8uzx1qq,Non-Hateful
Pragyaa,232,bharat bandh: petrol pumps  hotels  restaurants in punjab to remain shut on tuesdayhttps://t.co/1ncwnrj1w6,Non-Hateful
Pragyaa,434,@_mansoor_ali @pti @pmln_org @mediacellppp 2013 imran khan ; few army officials rigged the elections2018 pmln: few army officials rigged the election.pti &amp; pmln should realise now who is the common enemy of pakistani nation,Hateful
Pragyaa,216,@viksa_bhartiya @aajtak bandh call will only harm the people  who are organising and also supporting it!!these political parties trying to find lost ground!!economic loss to the nation will be recovered from the incomes of the people ultimately!!,Non-Hateful
Pragyaa,103,@lazybirdy8 there are 28 more days to go  it’s 2020!,Non-Hateful
Pragyaa,176,@onetiponehand_ it’s too early to comment on as the elections went on ballot paper.,Non-Hateful
Pragyaa,306,tomorrow's bandh would also be successful. https://t.co/1citrjlgko,Non-Hateful
Pragyaa,449,@the_modi_bhakt @narayanrao12 stop embarrassing yourself  it’s enough for the day.,Non-Hateful
Pragyaa,286,@tusharraut34 @siddhi_hindu879 @9900vikram @punekarvoice i am with my farmer brothers but no to bandh..... जय हिंद 🙏🙏 https://t.co/lxu3oalrqo,Non-Hateful
Pragyaa,20,@sanggitat true,Non-Hateful
Pragyaa,168,bharat bandh - 8th december details... protesting farmershttps://t.co/rqytaeykdz#bharatbandh #india #farmers,Non-Hateful
Pragyaa,318,@amitsomani go to surat and thave the 'italian' lochoshivasagar's thick crust 'indian' pizzamany more..they just dont strike at the moment..,Non-Hateful
Pragyaa,31,rise of saffron in south.#bjpsouthentry in last 1 decade elections become so interesting.the way bjp expanding with proper planning and strategic focusing on even state municipal elections  really shows the strength and commitment towards people development. #ghmcresults https://t.co/lnob8zilhy,Non-Hateful
Pragyaa,214,@aruna_dk interview about ghmc https://t.co/0h6ohrpn9p,Non-Hateful
Pragyaa,430,colombians embark on a fresh national strike against ivan duqueby tanya wadhwahttps://t.co/wxxrswfiwp,Non-Hateful
Pragyaa,239,@boxervijender pls do return - everyone who got it undeservedly are resorting to “awar wapsi” - do return and get lost after that you idiot https://t.co/dlstwrezin,Hateful
Pragyaa,497,@ndtv address two points.1) all india general strike on 26/11/2020: what is his reply to demands of the strike?2) kisan andolan: what is his reply to agitating farmers?@narendramodi,Non-Hateful
Pragyaa,345,y’day i tweeted asking farmers 2voice their issues directly 2 central govt. 2day ic in a news channel  a farmer talking 2a cm praising cm’s rule in the state  asks cm to defeat pm in forthcoming state elections n promised campaigning support. phew were these issues in d farm bill,Non-Hateful
Pragyaa,296,i will not support bharat bandh,Non-Hateful
Pragyaa,81,bhai bharat bandh kyon? @rahulgandhi ji... agriculture reforms were your party brain child. see the comments from your party captain https://t.co/zvethjuxa2,Non-Hateful
Pragyaa,57,bigot bhakt logic: people can only protest once in their life.eg. shaheen bagh protesters or jnu students cannot take part in the farmer's protest#antifarmerbill #bhakts #shaheenbagh #jnu,Non-Hateful
Pragyaa,311,@omkar_gs entire bollywood advertises for corporates and dances in ambani wedding,Hateful
Pragyaa,125,#assam | btc elections to be held with full covid-19 protocols https://t.co/jkxchlmvsn,Non-Hateful
Pragyaa,217,@itssuniltiwari @desimojito the real ambani would have refused to meet him  therefore met unrealistic ambani,Non-Hateful
