id,tweets,direct_claim,direct_claim_probability,indirect_claim,indirect_claim_probability,opinion,opinion_probability,quote,quote_probability,not_claim,not_claim_probability,level_2,level_2_probability,level_3_tag,iids
0,@satyendarjain #get well soon #delhi needs you in this #covid19 time.,no,0.5315316804401565,no,0.9068492368347691,no,0.7471042059042746,no,0.9744473194690002,no,0.8543976161219868,fact_check,0.6538885657415638,others,TRr09qCr_normal.jpg
1,intensive #lockdown in tamil nadu to begin from june 19  watch: https://t.co/1bwvev1pdf https://t.co/mggyvmhbqk,yes,0.5712220386943463,no,0.9110977658560812,no,0.7601729639424057,no,0.9745317100342854,no,0.9085196466273935,fact_check,0.7482045596345221,rumors,9f1J7_Sa_normal.png
2,"#breakingnews   corona update: continuously increasing recovery rate in india, 1,80,322 patients recovered from corona so far  #coronaviruspandemic #coronavirusindia #coronavirusupdates #corona #covid19 #covid_19 #fightagainstcorona #indiafightscorona   https://t.co/bpgddq7pjg",no,0.5315316804401565,no,0.9068492368347691,no,0.7471042059042746,no,0.9744473194690002,no,0.8543976161219868,fact_check,0.6538885657415638,others,1BG7uieQ_normal.png
3,"nice murad! clearly shows how this pandemic is a numbers game. with a minor tweak here &amp; a minor tweak there, the whole point of interpretation changes. i think we should consider graveyard registries too. https://t.co/yja6vlavlv @nikhilrampal1  @priyankapulla @1amnerd @das_seed https://t.co/qmgsujgwph",no,0.5315316804401565,no,0.9068492368347691,no,0.7471042059042746,no,0.9744473194690002,no,0.8543976161219868,fact_check,0.6538885657415638,others,wxz4giS5_normal.jpg
4,"interesting facts to know about sonam kapoor, the ultimate fashion diva #sonamkapoor #blessings #salmankhan #boycottfakestars #bycottkarnjohrgangmovie #indiafightscorona #covidー19 https://t.co/nkg0azdot5",no,0.5315316804401565,no,0.9068492368347691,no,0.7471042059042746,no,0.9744473194690002,no,0.8543976161219868,fact_check,0.6538885657415638,others,YDuUVjnW_normal.jpg
5,"coronavirus: parisians shrug of masks, social distancing and pack cafes as city gets its magic back https://t.co/r9clzgno61",yes,0.506184026129214,no,0.864236205705762,no,0.750391368674936,no,0.9752782186031425,no,0.895776418510114,fact_check,0.6892040783417561,others,Dev8L_9C_normal.jpg
6,our iranian lockdown: how coronavirus changed one couple’s life - documentary https://t.co/tdsqzx5v7w,no,0.5315316804401565,no,0.9068492368347691,no,0.7471042059042746,no,0.9744473194690002,no,0.8543976161219868,fact_check,0.6538885657415638,others,DDHIPsNC_normal.png
7,"beijing coronavirus situation ""extremely severe"", warns official - ndtv https://t.co/utpwvqgi59",no,0.5315316804401565,no,0.9068492368347691,no,0.7471042059042746,no,0.9744473194690002,no,0.8543976161219868,fact_check,0.6538885657415638,others,LZiWDvAa_normal.jpg
8,delhi needs more corona beds. #delhimaangemore https://t.co/c9mwdoyeyo,no,0.5315316804401565,no,0.9068492368347691,no,0.7471042059042746,no,0.9744473194690002,no,0.8543976161219868,fact_check,0.6538885657415638,others,0dH61OkX_normal.jpg
9,@goairlinesindia i have booked a ticket during lockdown. later on re-schedule ticket with split of passengers and again lockdown extended. no travel was undertaken. now @goairlinesindia has rescheduled my journey date without my concern. how is it possible? @dgcaindia pnr-eb39ga,yes,0.5441886419614411,no,0.8963839859053715,no,0.8280231512377076,no,0.97426555767168,no,0.8685816520609417,fact_check,0.6898025045575192,rumors,K3ScIGzd_normal.jpg
10,"how come the aam aadmi has to run from pillar to post for a covid test done, and the health &amp; chief ministers get it done instantaneously ? ⁦@arvindkejriwal⁩   delhi health minister admitted to hospital, tested for coronavirus https://t.co/ulunfkvrmg",yes,0.5114166981533378,no,0.9145356429637573,no,0.7503584884972674,no,0.9748361158811534,no,0.854972793410148,fact_check,0.6810520634708788,others,uKQeoIvF_normal.jpg
11,"diplomacy, peace and being more human is the way forward. aggressive wars (even war of words) puts many in trouble and  health problems. i believe, pandemics, sars, corona are all result of aggression.",no,0.5315316804401565,no,0.9068492368347691,no,0.7471042059042746,no,0.9744473194690002,no,0.8543976161219868,fact_check,0.6538885657415638,others,AMbyYkC7_normal.jpg
12,"#tuesdayvibes ""मेरी सेहत मेरी जिम्मेदारी है|""-this is why somendra singh (30) hariawan-up, adopted by dscl sugar (@dcmshriramltd) switched to safe drinking #water during the lockdown...  https://t.co/gmswmj6kut  #staysafestayhealthy #atmanirbhar https://t.co/lgkf8p0qeb",no,0.5315316804401565,no,0.9068492368347691,no,0.7471042059042746,no,0.9744473194690002,no,0.8543976161219868,fact_check,0.6538885657415638,others,uZcSNHKX_normal.png
13,china towards western led neo-liberalism bjp leading india towards capatilist authoritarianism.  https://t.co/6wx0jh81ea https://t.co/o4qiupsxpl,no,0.5315316804401565,no,0.9068492368347691,no,0.7471042059042746,no,0.9744473194690002,no,0.8543976161219868,fact_check,0.6538885657415638,others,Xgtr6Dl2_normal.jpg
14,"practice respiratory etiquette to keep yourself and others safe.   always wear mask correctly, to cover nose, mouth and chin.   remember! never go out without a face mask  #indiafightscorona #newnormal https://t.co/kibw94k8uo",yes,0.5938603566439438,no,0.9183870417885164,no,0.8055869884122494,no,0.9753190983073518,no,0.8551314062648603,fact_check,0.7071388798322116,others,TVZG_9jP_normal.jpg
16,"what are mumbai's 'james bonds' doing in the lockdown?  like everyone else, business is down for sleuths as well, but lockdown has meant unusual queries.  read: https://t.co/p7wl55ltuj https://t.co/25f0x9vtzg",no,0.5315316804401565,no,0.9068492368347691,no,0.7471042059042746,no,0.9744473194690002,no,0.8543976161219868,fact_check,0.6538885657415638,others,1W_E72cn_normal.png
18,people are finally opening up their eyes to how toxic the industry.#justiceforsushantsinghrajput pls ban these bloody monsters as producers @karanjohar @aliaa08 @yrf @iamsrk @beingsalmankhan may this pandemic affect you in such a way that you are spoiled &amp; screwed. #covid19,no,0.5315316804401565,no,0.9068492368347691,no,0.7471042059042746,no,0.9744473194690002,no,0.8543976161219868,fact_check,0.6538885657415638,others,d3RuiASi_normal.jpg
19,"pb mehta writes: india is heading into uncharted waters with no leadership at the helm, just the simulacra of one https://t.co/uga9pkamib via @indianexpress",no,0.5315316804401565,no,0.9068492368347691,no,0.7471042059042746,no,0.9744473194690002,no,0.8543976161219868,fact_check,0.6538885657415638,others,ufpWsTsQ_normal.jpg
