,country_code,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26
0,in-py,1,8,2,5,9,7,7,5,9
1,in-ld,6,19,15,14,18,14,20,21,9
2,in-wb,0,0,14,79,105,77,100,82,60
3,in-or,0,0,0,0,75,123,106,102,74
4,in-br,24,58,51,29,55,34,48,26,31
5,in-sk,2,4,5,1,3,2,4,1,3
6,in-ct,11,23,15,10,37,17,21,15,13
7,in-tn,17,51,48,42,41,47,76,52,55
8,in-mp,13,23,17,14,26,11,23,17,22
9,in-2984,0,0,0,0,0,0,0,24,39
10,in-ga,17,26,27,16,36,26,37,25,16
11,in-nl,0,0,0,0,0,0,0,0,0
12,in-mn,0,10,7,6,2,2,5,2,9
13,in-ar,3,7,6,3,3,2,3,3,1
14,in-mz,1,1,1,0,0,0,2,0,1
15,in-tr,7,26,19,12,25,16,23,26,22
16,in-3464,1,1,1,0,2,1,0,1,1
17,in-dl,0,0,0,0,0,0,0,0,509
18,in-hr,10,18,19,16,29,19,21,14,20
19,in-ch,0,0,0,24,115,96,96,76,81
20,in-hp,0,0,54,58,92,88,78,55,58
21,in-jk,0,12,69,67,85,71,63,62,65
22,in-kl,24,50,35,36,38,37,40,36,28
23,in-ka,17,29,40,25,32,24,41,33,21
24,in-dn,0,0,0,20,124,120,93,75,81
25,in-mh,14,33,45,49,25,37,30,17,23
26,in-as,0,0,0,50,116,91,85,70,103
27,in-ap,5,15,13,14,18,14,10,10,14
28,in-ml,2,11,4,3,4,0,1,4,4
29,in-pb,0,0,67,67,93,85,81,45,70
30,in-rj,37,63,53,45,47,47,71,60,66
31,in-up,0,8,97,71,77,69,80,56,52
32,in-ut,8,22,21,29,23,24,18,21,17
33,in-jh,7,21,23,11,25,21,15,21,23
