,Tweet_ID,username,description,location,following,followers,totaltweets,Time_created,Likes Count,retweetcount,text,hashtags,Link
0,1386584035393036290,GohainSanchita,"𝘼 𝙬𝙤𝙢𝙖𝙣 𝙞𝙨 𝙖 𝙢𝙖𝙜𝙞𝙘, 𝙩𝙝𝙚 𝙢𝙖𝙜𝙞𝙘𝙞𝙖𝙣 𝙞𝙨 𝙩𝙝𝙚 𝙬𝙤𝙢𝙖𝙣 𝙞𝙩𝙨𝙚𝙡𝙛","𝑫𝑰𝑩𝑹𝑼𝑮𝑨𝑹𝑯,𝑨𝑺𝑺𝑨𝑴",149,172,991,2021-04-26 07:32:50,10,10,"Second wave of #Covid19 is spreading exponentially and yet again the ASSAM GOVT. is forcing SEBA &amp; AHSEC students to take offline exams.
#CancelAhsecSebaExams","['Covid19', 'CancelAhsecSebaExams']",https://twitter.com/twitter/statuses/1386584035393036290
1,1386380683367510019,prasanta_verma,🔸Assamese🔸Student🔸Literature🔸Journalism🔸Books🔸Two Books ➡ The Best Thing in the World ➡ Dristibhangi🔸Followed by PM Modi (@narendramodi).,"Tinsukia, Assam, India.",247,1789,1318,2021-04-25 18:04:47,1,0,"We should take strong precautions against the war of #COVID19.
➡️ Always wear a mask 😷
➡️ Wash hands repeatedly 🧽
➡️ Maintain social distancing ↔️
➡️ Use senitizer🧴
➡️ Avoid gathering places 👬👫
➡️ Take vaccine according to qualification 💉 
➡️ Follow protocols strictly 🙏 https://t.co/NExHqtQury",['COVID19'],https://twitter.com/twitter/statuses/1386380683367510019
2,1386318077621510144,DDNewsArunachal,"Official handle of DD News Arunachal. 

Visit our Youtube channel https://t.co/0RzM6C1Kl8","Arunachal Pradesh, India",105,1694,3600,2021-04-25 13:56:00,1,0,"#ArunachalPradesh recorded 116 cases of #Covid19 on Friday. Of the total 116 cases reported on Friday, 80 are asymptomatic and 36 are symptomatic. @PemaKhanduBJP @libang_alo @DirectorateofHS @DCitanagar https://t.co/jHRXk4hbEQ","['ArunachalPradesh', 'Covid19']",https://twitter.com/twitter/statuses/1386318077621510144
3,1386232783467544576,BhaskarGogoi,"Member,Assam Olympic Association @AssamOlympic , Swayamsevak. Reach me at : bhaskar@bhaskargogoi.com","Dibrugarh, India",174,5176,23393,2021-04-25 08:17:05,1,0,List of remdisivir distributers in #Delhi #covid19 https://t.co/Kh9PxLksIS,"['Delhi', 'covid19']",https://twitter.com/twitter/statuses/1386232783467544576
4,1386163163666649097,sanjayc6,"GM,RGC/working on making poverty free country through education, A lazy person cannot even secure self achievement, iron is join to iron unless it is heated..","Dibrugarh, India",1842,147,2212,2021-04-25 03:40:26,3,0,"@BorgohainHoman Will pray for #speedy #recovery from #COVID19 #Corona2ndWave May Almighty bless you sir, #FightAgainstCOVID19 #united2fightcorona #WeCanDoThis","['speedy', 'recovery', 'COVID19', 'Corona2ndWave', 'FightAgainstCOVID19', 'united2fightcorona', 'WeCanDoThis']",https://twitter.com/twitter/statuses/1386163163666649097
5,1385965868941594634,Manxho_,Farm to plate - Local. Hygienic. Fresh. Call or whatsapp at 8134909910 for queries.,"Khowang, Dibrugarh",221,365,1067,2021-04-24 14:36:27,4,0,"Wishing you all a safe weekend! 
""Ultimately, the greatest lesson that COVID-19 can teach humanity is that we are all in this together.""
Let us all perform our duty in maintaining strict #COVID19 protocols. 

#staysafestayhome 🏡
#maskup 😷 https://t.co/jGiTeepFD3","['COVID19', 'staysafestayhome', 'maskup']",https://twitter.com/twitter/statuses/1385965868941594634
6,1385960385262493707,DDNewsArunachal,"Official handle of DD News Arunachal. 

Visit our Youtube channel https://t.co/0RzM6C1Kl8","Arunachal Pradesh, India",105,1694,3600,2021-04-24 14:14:40,0,0,"#Itanagar Capital District administration is ensuring strict implementation of #Covid19 SOP issued by the state government. As part of the exercise, DA has ordered closure of weekly market at Chimpu. @PemaKhanduBJP @bamang_felix @DCitanagar @SPItanagar https://t.co/x537zyhewY","['Itanagar', 'Covid19']",https://twitter.com/twitter/statuses/1385960385262493707
7,1385958083747143683,DDNewsArunachal,"Official handle of DD News Arunachal. 

Visit our Youtube channel https://t.co/0RzM6C1Kl8","Arunachal Pradesh, India",105,1694,3600,2021-04-24 14:05:31,1,0,"#ArunachalPradesh recorded 134 cases of #Covid19 on Friday. Of the total 134 cases reported on Friday, 96 are asymptomatic and 38 are symptomatic. @PemaKhanduBJP @libang_alo @DirectorateofHS @DCitanagar https://t.co/IbvWZz5eAy","['ArunachalPradesh', 'Covid19']",https://twitter.com/twitter/statuses/1385958083747143683
8,1385877605518176258,kaustubhdeka,"Filling up the footnotes of history, engaging with the 'frontiers'. Presently interacting with young minds at Dibrugarh University.",,265,573,801,2021-04-24 08:45:44,7,1,"What sustains a regime of inefficiency? That toxic combination of religious bigotry and rabid nationalism. The opium of the masses indeed! This cardinal truth proven time and again in history, is being felt now in #India like never before.
#IndiaNeedsOxygen #COVID19 #wakeupIndia","['India', 'IndiaNeedsOxygen', 'COVID19', 'wakeupIndia']",https://twitter.com/twitter/statuses/1385877605518176258
9,1385795380160331779,K_ronrang,I'm an artist and songwriter. I love doing music and still work is on go.,"Arunachal Pradesh, India",16,12,19,2021-04-24 03:19:00,1,0,"Good Morning folks!
Have an off corona day 🥳
Stay safe! 

#coronaholiday #CoronavirusPandemic 
#coronavirus #covid19india","['coronaholiday', 'CoronavirusPandemic', 'coronavirus', 'covid19india']",https://twitter.com/twitter/statuses/1385795380160331779
