,Tweet_ID,username,description,location,following,followers,totaltweets,Time_created,Likes Count,retweetcount,text,hashtags,Link
0,1386641169015140358,vkvkmarwat,Journalist Politics-Policy | Proud Indian🇮🇳 | Interested in India's Past | Books | Space | Cricket | भोजपुरिया | Views Expressed are Personal,"Raipur, Chhattisgarh, India",285,1142,4328,2021-04-26 11:19:51,0,0,"@RahulGandhi Central government is also not allowing the real data of the #coronavirus #COVID19 to reach the public. #vaccine #StayHome #COVID19India #COVIDIOTS
#ModiGovtSeNaHoPayega 
 #मोदी_का_सिस्टम_ले_डूबा #MadrasHighCourt #ModiHaiTohMumkinHai  #IndiaFightsBack https://t.co/ii0SsTWaiu","['coronavirus', 'COVID19', 'vaccine', 'StayHome', 'COVID19India', 'COVIDIOTS', 'ModiGovtSeNaHoPayega', 'मोदी_का_सिस्टम_ले_डूबा', 'MadrasHighCourt', 'ModiHaiTohMumkinHai', 'IndiaFightsBack']",https://twitter.com/twitter/statuses/1386641169015140358
1,1386629378746896388,itsSKB97,🙏Kalahandi Bibhag SFS Pramukh @ABVPOdisha 🚩 || Students Activist || Social activity || Personal Views🙏,"Nuapada, India",309,171,1932,2021-04-26 10:33:00,9,2,"Administration failed to manage #COVID19 crisis in Nuapada

@CMO_Odisha
@DM_Nuapada
@PMOIndia
@nabadasjsg
@HealthOdisha
@AdhirajMohan
@MoSarkar5T
#SaveNuapada
#Covid19
#AIR66Failed
#AIR66FailedInNuapada
#SpeakUpNuapada
#NuapadaSpeaks
#NuapadaAsks","['COVID19', 'SaveNuapada', 'Covid19', 'AIR66Failed', 'AIR66FailedInNuapada', 'SpeakUpNuapada', 'NuapadaSpeaks', 'NuapadaAsks']",https://twitter.com/twitter/statuses/1386629378746896388
2,1386623557690482689,RahulGoswamiiyc,Indian | Social Activist | Gandhian,"Durg, India",106,40,295,2021-04-26 10:09:53,1,0,"#BREAKING | 14-day total lockdown in #Karnataka from April 27 - What's allowed, what's not

Read here- https://t.co/aRlPxJ6GOq

#lockdown #lockdown2021 #karnatakalockdown #COVIDSecondWave #COVID19 #coronavirus https://t.co/ivI0aKoAub https://t.co/aul1cCSbKS","['BREAKING', 'Karnataka', 'lockdown', 'lockdown2021', 'karnatakalockdown', 'COVIDSecondWave', 'COVID19', 'coronavirus']",https://twitter.com/twitter/statuses/1386623557690482689
3,1386622877068251136,RAHUL2494,Top Educator at Unacademy PLUS. Chemistry(Hons.) from Delhi University.,"Raigarh, India",821,71,1946,2021-04-26 10:07:10,0,0,"Mr. @imVkohli and @msdhoni  can you guys tell the people of this country what efforts you are taking to help India mitigate #COVID19 crisis??????

#COVID19India 
#CovidHelp 
#COVIDSecondWave 
#IPL2021 
@ChennaiIPL @RCBTweets","['COVID19', 'COVID19India', 'CovidHelp', 'COVIDSecondWave', 'IPL2021']",https://twitter.com/twitter/statuses/1386622877068251136
4,1386621921396068353,DC192021,"I will do my best to make everyone mentally strong to fight this pandemic..
#mentalhealthmatters","Raipur, India",23,0,17,2021-04-26 10:03:22,1,1,"📌Tocilizumab Distributor📌
[CHATTISGARH]
#Chhattisgarh #Tocilizumab #COVID19 #CovidHelp #COVID19India #CONTACT #savelife #Corona https://t.co/kcXUrgaSab","['Chhattisgarh', 'Tocilizumab', 'COVID19', 'CovidHelp', 'COVID19India', 'CONTACT', 'savelife', 'Corona']",https://twitter.com/twitter/statuses/1386621921396068353
5,1386613034903171073,VershaV52273602,"Keep it real 🔥
⚔
Optimist 
Upcoming psychologist","Chhattisgarh, India",149,23,21,2021-04-26 09:28:04,2,1,"Dear friends, If you are facing any kind of mental issue, feel free to share 
I'll help you to come out from it, Thank you
#FrontlineWorkers #volunteers #COVIDEmergency2021  #COVID19
This is my 
Email ID - vermaversha2101998@gmail.com https://t.co/KKzjn5jnaD","['FrontlineWorkers', 'volunteers', 'COVIDEmergency2021', 'COVID19']",https://twitter.com/twitter/statuses/1386613034903171073
6,1386612873942634496,DC192021,"I will do my best to make everyone mentally strong to fight this pandemic..
#mentalhealthmatters","Raipur, India",23,0,17,2021-04-26 09:27:25,0,0,"It's huge time to give back what we had taken😔.In this pandemic,alot of people were dying due to lack of oxygen supply.We human ourself killed alot of trees&amp;destroyed the main source of O2 &amp;now karma is hitting us hard
Plant trees and Heartily Apologize Mother Earth🌎
#COVID19 https://t.co/gVm73TlwoR",['COVID19'],https://twitter.com/twitter/statuses/1386612873942634496
7,1386607423616471041,ViralJharsuguda,The one you trust,"Jharsuguda, India",6,1597,4515,2021-04-26 09:05:46,2,0,"India reports 3,52,991 new #COVID19 cases, 2812 deaths in last 24 hours

Total cases: 1,73,13,163
Total recoveries: 1,43,04,382
Death toll: 1,95,123 
Active cases: 28,13,658  

(Union Health Ministry ) https://t.co/YqMIV7mmha",['COVID19'],https://twitter.com/twitter/statuses/1386607423616471041
8,1386593965051310084,anilshukla_1986,"Believe in Hinduism(हिंदुत्व) & Sanatan Dharm. Bhagwat Gita is my source of inspiration..!!!
https://t.co/TRFPL9TdEz. (Electronics)","Raipur, Chhattisgarh, India",1341,1337,169120,2021-04-26 08:12:17,0,0,"I blame #China for this #ChineseVirus of #CoronavirusPandemic☠️ #COVID19 across world. World Leaders have forgotten the greatest sin perpetrated by #China but Nobody will excuse #China for such man-made disaster from #WuhanLab in individual capacity.
#India can't trust #China https://t.co/wVviBGTVzd","['China', 'ChineseVirus', 'CoronavirusPandemic', 'COVID19', 'China', 'China', 'WuhanLab', 'India', 'China']",https://twitter.com/twitter/statuses/1386593965051310084
9,1386593909451591686,anilshukla_1986,"Believe in Hinduism(हिंदुत्व) & Sanatan Dharm. Bhagwat Gita is my source of inspiration..!!!
https://t.co/TRFPL9TdEz. (Electronics)","Raipur, Chhattisgarh, India",1341,1337,169120,2021-04-26 08:12:04,0,0,"@dwnews I blame #China for this #ChineseVirus of #CoronavirusPandemic☠️ #COVID19 across world. World Leaders have forgotten the greatest sin perpetrated by #China but Nobody will excuse #China for such man-made disaster from #WuhanLab in individual capacity.
#India can't trust #China","['China', 'ChineseVirus', 'CoronavirusPandemic', 'COVID19', 'China', 'China', 'WuhanLab', 'India', 'China']",https://twitter.com/twitter/statuses/1386593909451591686
