,Tweet_ID,username,description,location,following,followers,totaltweets,Time_created,Likes Count,retweetcount,text,hashtags,Link
0,1386664053674627075,shikhar_honey,"NEVER RUN AWAY.
Uk 07 rider. 
think tank, psychological.","New Delhi, India",115,16,347,2021-04-26 12:50:48,0,0,"@patcummins30 Thank you so much, let's hope that the money goes in the real workings. #COVID19 #Thankyoupatcummins","['COVID19', 'Thankyoupatcummins']",https://twitter.com/twitter/statuses/1386664053674627075
1,1386661895780790282,ISBedu,Research-driven B-school that grooms future leaders for India and the world.,Hyderabad | Mohali,349,149027,9023,2021-04-26 12:42:13,0,0,"Latest numbers in our Data Story reveal interesting insights on the key players in the mobility space. Read what the data says, as analysed by Aman Kumar, Co-Founder, KalaGato.
https://t.co/yZhCteL1HB 

#ManagementReThink #COVID19 #Ridehailing @KalagatoC @ISBMgmtRethink https://t.co/Vs6Q3ijLXK","['ManagementReThink', 'COVID19', 'Ridehailing']",https://twitter.com/twitter/statuses/1386661895780790282
2,1386661662845902857,SagarHatwal1,"🙏
Proud Citizen Of Indian❤️ 🇮🇳 💪
@Narendramodi 
@adgpi
https://t.co/KiscdwNZNv
🚩🚩 जय श्री राम 🚩🚩",Deharadun Uttrrakhand,2305,1806,9784,2021-04-26 12:41:18,4,1,"#COVID19 
#coronavirus 
On duty 🙏👍
#BePositive https://t.co/wKK1iS6Pxu","['COVID19', 'coronavirus', 'BePositive']",https://twitter.com/twitter/statuses/1386661662845902857
3,1386661256614998021,sdcfoundationuk,Not For Profit | Communications | Capacity Building | Policy & Governance | Focus on Uttarakhand and other Himalayan states,Dehradun,71,1219,1521,2021-04-26 12:39:41,2,0,"Excellent illustration showed by @MoHFW_INDIA in today's press briefing on #COVID19. As one can see, observing 6ft distance with the mask for both infected and non-infected persons puts us at negligible risk. It is highest when no mask!

Mask on, always! https://t.co/1sexcd4dvl",['COVID19'],https://twitter.com/twitter/statuses/1386661256614998021
4,1386658451162501122,PunjabGovtIndia,"Official @Twitter handle of the Government of the State of Punjab, India. Also join us at: https://t.co/IUiGUagH3V","Chandigarh, Punjab, India",73,185988,15595,2021-04-26 12:28:32,11,2,Education Minister @VijayIndrSingla has cancelled NOC given to a school in Fazilka district for violating govt instructions during the #COVID19 pandemic. He had floated his personal email vijayindersingla@gmail.com to receive such complaints against wrongdoings of private school.,['COVID19'],https://twitter.com/twitter/statuses/1386658451162501122
5,1386657865801162757,thetribunechd,"Official Twitter handle of The Tribune, North India’s oldest and most trusted newspaper, published from Chandigarh, India. https://t.co/QQ5bS8UQEL",Chandigarh,282,118418,228017,2021-04-26 12:26:12,8,0,"#COVID19: @capt_amarinder against lockdown, says situation expected to get worse in #Punjab https://t.co/dWUHOB3dhd","['COVID19', 'Punjab']",https://twitter.com/twitter/statuses/1386657865801162757
6,1386655146965274625,PunjabGovtIndia,"Official @Twitter handle of the Government of the State of Punjab, India. Also join us at: https://t.co/IUiGUagH3V","Chandigarh, Punjab, India",73,185988,15595,2021-04-26 12:15:24,24,4,"In a bid to effectively combat the #COVID19 emergency situation across the state, the #PunjabCabinet led by Chief Minister @capt_amarinder Singh gave approval to the recruitment of 473 posts of staff nurses in Rajindra Hospital, Patiala, and Guru Nanak Dev Hospital, Amritsar.","['COVID19', 'PunjabCabinet']",https://twitter.com/twitter/statuses/1386655146965274625
7,1386654958523600898,CMOPb,Office of the Chief Minister of Punjab,"Punjab, India",5,199348,3837,2021-04-26 12:14:39,32,5,"In a bid to effectively combat the #COVID19 emergency situation across the state, the #PunjabCabinet led by Chief Minister @capt_amarinder Singh gave approval to the recruitment of 473 posts of staff nurses in Rajindra Hospital, Patiala, and Guru Nanak Dev Hospital, Amritsar","['COVID19', 'PunjabCabinet']",https://twitter.com/twitter/statuses/1386654958523600898
8,1386654395002068994,Aniketg1997,"These are my opinions. Not necessarily shared by reasonable-minded people nor my benevolent corporate overlords..
...
being INDIAN love every real INDIAN's","Chandigarh, India",32,28,99,2021-04-26 12:12:25,0,1,"No one was and no one is there for you. You have to fight alone as always wether its flood , food crisis , earthquake or #COVID19.
Government which hangs here are already looting and menuplating its inocent public
#Savebihar @BaatBiharKii","['COVID19', 'Savebihar']",https://twitter.com/twitter/statuses/1386654395002068994
9,1386654394599440384,AVTARSINGHTURKA,I Love My Country & PPL Very Much.I Just Want That No One In India  Sleep's Hungry & We All Indians Try To Make Our Nation As Shaheed Bhagat Singh Imagines.,AMBALA (INDIA),61,49,1866,2021-04-26 12:12:25,0,1,"@ndtv #AndhBhakts will not ask now from where donations are coming to #Gurudwara for providing oxygen.
#COVID19 #FarmersProtest #IndiaFights4FarmerRights","['AndhBhakts', 'Gurudwara', 'COVID19', 'FarmersProtest', 'IndiaFights4FarmerRights']",https://twitter.com/twitter/statuses/1386654394599440384
