,Tweet_ID,username,description,location,following,followers,totaltweets,Time_created,Likes Count,retweetcount,text,hashtags,Link
0,1386669900026896387,MalakarTrisha,"One good turn gets most of the blankets🙂
#dancer #ncc cadet","West Bengal, India",52,33,10,2021-04-26 13:14:01,0,0,"Life is providing me new challenges like the new symptoms of Covid-19

#COVID19 #pandemic #life #health #LongCovid #LongCovid #healthcare #ThoughtForTheDay #ifyousufferthesamethendoshare","['COVID19', 'pandemic', 'life', 'health', 'LongCovid', 'LongCovid', 'healthcare', 'ThoughtForTheDay', 'ifyousufferthesamethendoshare']",https://twitter.com/twitter/statuses/1386669900026896387
1,1386666496819040264,ivinaykanchan,A YOUTUBER | Blogger| Political Analyser | Belive in Experience is Excellent | A Mechanical Engineer | Politician | राष्ट्रवादी | सनातनी | RSS स्वयंसेवक |,"Jamshedpur, Jharkhand",4023,816,23571,2021-04-26 13:00:30,0,0,"Phase 3 of the world’s #LargestVaccinationDrive will get wider from May 1.

Registrations for 18+ citizens begins April 28 for vaccination against #COVID19 at https://t.co/v6VrsZf3op

#Unite2FightCorona
#IndiaFightsCorona https://t.co/T8jZe1VPSR","['LargestVaccinationDrive', 'COVID19', 'Unite2FightCorona', 'IndiaFightsCorona']",https://twitter.com/twitter/statuses/1386666496819040264
2,1386663469315813379,NssRanchi,"Nss Ranchi University, Ranchi","Ranchi, India",126,57,64,2021-04-26 12:48:28,1,0,"NSS Stress Management Cell is working to encourage students.
#nss_ranchi_university_unicef_jharkhand
@YASMinistry @KirenRijiju  @JharkhandCMO @_NSSIndia @UNICEFIndia @DrYasminAHaque @PrasantaDash1 @asthaalang
@UNV_India  @ZafrinChowdhury
#COVID19 https://t.co/MftzxTni8Y","['nss_ranchi_university_unicef_jharkhand', 'COVID19']",https://twitter.com/twitter/statuses/1386663469315813379
3,1386661493903532037,Unnati92285883,"student🤓
aspiring to be a medico...!!!","Jharkhand, India",207,8,44,2021-04-26 12:40:37,2,5,"Patient name- Rajkumari devi
Age -56 years
Urgently need plasma.plz help. it's very emergency situation
Blood group -B positive
#PlasmaRequirement  
#Patnacovid #Plasma #CovidIndia #COVIDEmergency2021 
#COVID19 #SOS  #Emergency  #CovidHelp  #CovidSOS  #PlasmaDonor #Plasmaneeded","['PlasmaRequirement', 'Patnacovid', 'Plasma', 'CovidIndia', 'COVIDEmergency2021', 'COVID19', 'SOS', 'Emergency', 'CovidHelp', 'CovidSOS', 'PlasmaDonor', 'Plasmaneeded']",https://twitter.com/twitter/statuses/1386661493903532037
4,1386659934331449348,AlokBharti_Comm,"Ad & Communication agency.
A complete House of Media Solution.
Reach to us for documentary, audio-visual ad films, translation work, newspaper ads, newsletters","Ranchi, India",74,13,138,2021-04-26 12:34:25,1,0,"Protect Yourself Against #COVID19 😷
Choose To Vaccinate 🙏🏻

 #COVIDVaccination https://t.co/u2OhUoNXbz","['COVID19', 'COVIDVaccination']",https://twitter.com/twitter/statuses/1386659934331449348
5,1386654649529225221,_tejkaran,"MBA, IIM Kozhikode. Currently working as Chief Minister Health Advisor Fellow, Govt. of Jharkhand. Trying to bring some change to Aspirational Districts.","Ranchi, India",205,34,41,2021-04-26 12:13:25,0,1,"1 in every 3, 
1 in every 4,
1 in every 5, The extent of spread... we are doing record number of tests. Let it sink in.
Next week Bengal will cross 40% positivity. #CoronavirusPandemic @MamataOfficial keep 1000 Ventilator ready !!! @PMOIndia #COVID19 
You know who is responsible! https://t.co/gNv0XNEJxB","['CoronavirusPandemic', 'COVID19']",https://twitter.com/twitter/statuses/1386654649529225221
6,1386643373507948545,LiveKaushal,🇮🇳 भारतीय जनता पार्टी कार्यकर्ता,ranchi,365,116,518,2021-04-26 11:28:37,0,0,"1. Registration for vaccination of 18+ citizens to start from 28th April on CoWIN platform &amp; Aarogya Setu App.

2. Yes, women can take vaccine during their periods (menstruation).

3. No, there's no separate vaccine for people with diabetes.

Stay away from rumours.

#COVID19",['COVID19'],https://twitter.com/twitter/statuses/1386643373507948545
7,1386641727465791488,Alok_kr999,Youtubers having 1M subs,"Jamshedpur, India",26,74,726,2021-04-26 11:22:05,0,1,"@DCEastSinghbhum  @HemantSorenJMM  @BannaGupta76  there is huge shortage of Corona vaccine in Jamshedpur , specially Baridih , birsanagar . Please do something and available it #CoronavirusVaccine  #COVID19 #Covishield #CoronavirusPandemic https://t.co/iuuWu3Q04n","['CoronavirusVaccine', 'COVID19', 'Covishield', 'CoronavirusPandemic']",https://twitter.com/twitter/statuses/1386641727465791488
8,1386634964020563970,ADITYAR2003,full fun 🤪🤪,"Ranchi, India",169,6,152,2021-04-26 10:55:12,1,0,"https://t.co/Uz9NVBUgD1
Sau taake sach baat @narendramodi @PMOIndia @AmitShah @BJP4Delhi @HemantSorenJMM #COVIDEmergency2021 #COVID19India #COVID19 
Retweet and share it more and more 🙏🙏🙏👍👍👍","['COVIDEmergency2021', 'COVID19India', 'COVID19']",https://twitter.com/twitter/statuses/1386634964020563970
9,1386633732065423361,FobDaltonganj,"Official account of Field Outreach Bureau Daltonganj, (क्षेत्रीय लोक संपर्क ब्यूरो, डालटनगंज) Jharkhand. A unit of @MIB_India Government of India.",Daltonganj,492,519,3515,2021-04-26 10:50:18,0,1,"As India continues to witness a sharp rise in #COVID19 cases, it's time we take COVID precautions seriously. Continue wearing a mask, maintaining 2 Gaj ki Doori &amp; washing your hands regularly. #IndiaFightsCorona https://t.co/XeTgPj40qn","['COVID19', 'IndiaFightsCorona']",https://twitter.com/twitter/statuses/1386633732065423361
