,Tweet_ID,username,description,location,following,followers,totaltweets,Time_created,Likes Count,retweetcount,text,hashtags,Link
0,1386665508011794447,iamtheactivist1,Earlier I was just a student. Recent times made me ACTIVIST!  Follow for Follow back!!!🙏🏻 (Kya kare! bheek mangebina kuch milta nahi hai🤣),"Maharashtra, India",490,165,1025,2021-04-26 12:56:34,1,0,That’s a welcoming step @TwitterIndia 🤘🏻🤘🏻 It was need of an hour👍🏻👍🏻 #coronavirus #COVID19 #CovidIndia #Twitterowelekcjepomocy #TwitterTips https://t.co/cCus0NFNBg,"['coronavirus', 'COVID19', 'CovidIndia', 'Twitterowelekcjepomocy', 'TwitterTips']",https://twitter.com/twitter/statuses/1386665508011794447
1,1386664878673338372,iamtheactivist1,Earlier I was just a student. Recent times made me ACTIVIST!  Follow for Follow back!!!🙏🏻 (Kya kare! bheek mangebina kuch milta nahi hai🤣),"Maharashtra, India",490,165,1025,2021-04-26 12:54:04,5,0,@kdhiraj123 @theicai It seems ground level assessment is over!! Decision making started✌️✌️ Hope so students also will be benefited regarding exam😅 #icaiexams #ICAI #icaiexam #icaiexampostpone #cacscma #coronavirus,"['icaiexams', 'ICAI', 'icaiexam', 'icaiexampostpone', 'cacscma', 'coronavirus']",https://twitter.com/twitter/statuses/1386664878673338372
2,1386662802249502720,itzkaustubh,"You are either on my side, by my side, or in my f*cking way. Choose wisely😉💖✨
.
.
.
#attitudeboy","Nashik, India",27,4,36,2021-04-26 12:45:49,1,0,"Madras hc comments on #ElectionCommissionOfIndia . They are responsible for 2nd wave of #COVID19 in india
.
.
#MadrasHighCourt #like #FolloForFolloBack #follo4folloback #follotrick #FolloMe #LikeForLikes #likemecard #likesforlike","['ElectionCommissionOfIndia', 'COVID19', 'MadrasHighCourt', 'like', 'FolloForFolloBack', 'follo4folloback', 'follotrick', 'FolloMe', 'LikeForLikes', 'likemecard', 'likesforlike']",https://twitter.com/twitter/statuses/1386662802249502720
3,1386662731994988545,socialantholog1,"Bunch of things
BoT's","Maharashtra, India",56,17,442,2021-04-26 12:45:32,0,0,"Where is Digital India...
Shame on Indian those leaders, actors, companies who not yet even support finance.
#CoronavirusIndia #CoronavirusPandemic #IndiaFightsBack #India #indianeedoxygen #coronavirus #IndiaFightsCOVID19 https://t.co/4koMgUoP03","['CoronavirusIndia', 'CoronavirusPandemic', 'IndiaFightsBack', 'India', 'indianeedoxygen', 'coronavirus', 'IndiaFightsCOVID19']",https://twitter.com/twitter/statuses/1386662731994988545
4,1386659465089347591,VijayTheMasteer,"अहिंसा परमो धर्म

साधु सन्यासी","Maharashtra, India",425,512,21832,2021-04-26 12:32:34,0,0,"@JohnCena @Rotary Fighting #COVID19 requires global solidarity. 

What a line please Cena Give FB 
I am your big fan 
Please Give me follow back 

Never Give up ✌️💪",['COVID19'],https://twitter.com/twitter/statuses/1386659465089347591
5,1386654831780241411,Ajinkyavw007,"Computer science student at Government college of engineering , Aurangabad","Aurangabad, Maharashtra",215,14,55,2021-04-26 12:14:09,2,1,"Thanks Pat @patcummins30 
I urge more players to come forward and help India to get out from this crisis..
#IndiaFightsCOVID19 
#IPL2021 
#COVID19 https://t.co/I88FSaVFl6","['IndiaFightsCOVID19', 'IPL2021', 'COVID19']",https://twitter.com/twitter/statuses/1386654831780241411
6,1386653980722270211,theservent2,"⚔Sayfullah ( The Sword of Allah ﷻ )🛡
Khalid Ibn Al Walid RA - The victory lies not in the number of men, but it lies in the help of Allah (SWT)","Maharashtra, India",1,1,14,2021-04-26 12:10:46,0,0,"❝ It Doesn't Matter It's India, Lebanon, Palestine, Syria, Iraq, Yemen or Gaza Saudi Arabia Always Put Their Step First To Serve The Nation. ❞

@KSRelief_EN @IndianEmbRiyadh #SaudiArabia #LandOfTawheed🇸🇦 #Syria #Lebanon #Palestine #Gaza #Yemen #COVID19 #indianeedoxygen https://t.co/qacTBFZaVc","['SaudiArabia', 'LandOfTawheed', 'Syria', 'Lebanon', 'Palestine', 'Gaza', 'Yemen', 'COVID19', 'indianeedoxygen']",https://twitter.com/twitter/statuses/1386653980722270211
7,1386650811149651971,fights_corona,#IndiaFightsCorona,"Maharashtra, India",6,3,8,2021-04-26 11:58:10,0,4,"*Urgently Require Plasma for a Covid Patient*

Name - Sunder Mookla

Hospital - Highland Hospital, Thane

Blood Group - O +ve

Contact - Chitra - +91 99303 30256

Kindly help in getting a donor for the same.
#COVID19 #PlasmaDonor #coronavirus #PlasmaRequirement #Urgent #helpindia","['COVID19', 'PlasmaDonor', 'coronavirus', 'PlasmaRequirement', 'Urgent', 'helpindia']",https://twitter.com/twitter/statuses/1386650811149651971
8,1386649614682525698,i_am_Aafree,"|| Graduate || Activist|| Henna Artist || Thinker || Nature lover || 
|| likes & RTs are not Endorsement ||







Boys Don't DM","Maharashtra, India",2000,2121,2075,2021-04-26 11:53:25,5,0,"May Allah accept their efforts and eradicate the disease like #COVID19  and restore the condition of our country.
(Aameen)
@JIHMarkaz https://t.co/l3zPeLqk7z",['COVID19'],https://twitter.com/twitter/statuses/1386649614682525698
9,1386648896319877126,Ointment_doori,Unofficial account in the wait of someone's official announcement😌,Maharashtra India ,52,34,2539,2021-04-26 11:50:34,1,0,The recent imports of special covid medicines in india/set up of bed/oxygen etc in hospitals.. might consume https://t.co/lfZ03aOrWd let's be more careful than now atleast till may 15/20 when equipments to treat covid aren't completely available in the country. #coronavirus,['coronavirus'],https://twitter.com/twitter/statuses/1386648896319877126
10,1386648534724661250,Tapeshwari_Ms,Abnormally Normal!,"Maharashtra, India",114,7,12,2021-04-26 11:49:08,3,1,"#Oscars #ENHYPEN #karnatakalockdown #Oscars2021 #SaudiArabia #NCOCcancelexam #COVID19 #Crypto #UNICEF
Someone wrote this and it's reality kindly read it! https://t.co/zh6INNgZCM","['Oscars', 'ENHYPEN', 'karnatakalockdown', 'Oscars2021', 'SaudiArabia', 'NCOCcancelexam', 'COVID19', 'Crypto', 'UNICEF']",https://twitter.com/twitter/statuses/1386648534724661250
11,1386642455223672836,yash_bordia,"🔅Set a goal that makes you jump out of your bed in the morning🔅
Indian🇮🇳||Foodie🍔||Music lover🎧||Believer✨||Dreamer💭||Shopoholic🛍","Maharashtra, India",451,35,198,2021-04-26 11:24:58,2,0,It's a very useful guide!!!..Everyone can have a look at it and follow...Thanks for compiling @drriteshmalik #COVID19 #COVIDEmergency2021 #CovidResources #COVIDSecondWave #CovidHelp https://t.co/mTjTagTCpp,"['COVID19', 'COVIDEmergency2021', 'CovidResources', 'COVIDSecondWave', 'CovidHelp']",https://twitter.com/twitter/statuses/1386642455223672836
12,1386636310836776962,YMoulvi,Believer | Freelance Video Editor | #MakeIndiaHateFree | Interested in Creating Good Positive Content for Social Media | Likes & RTs are not Endorsements,"Maharashtra, India",1196,2039,3973,2021-04-26 11:00:33,10,9,"Dont Cry Conspiracy every time, its becoming too obvious

Your Incompetency, Your Mismanagement, Your Misplaced Priorities is Anti India &amp; not people calling fr help &amp; accountability in dis desperate times
#COVID19

https://t.co/FiTFVMo4rD

@atti_cus @FahadBombay @srivatsayb",['COVID19'],https://twitter.com/twitter/statuses/1386636310836776962
13,1386627144990695424,pratikbavi,"| Member of CEESP @IUCN | #ClimateChangeIsReal

Be the change you wish to see in the world ~ M. K. Gandhi Ji.
ᴛᴡᴇᴇᴛꜱ=ᴘᴇʀsᴏɴᴀʟ  | ʀᴛꜱ≠ᴇɴᴅᴏʀꜱᴇᴍᴇɴᴛ
#Xavierite","Maharashtra, India",364,877,2986,2021-04-26 10:24:08,0,0,"Whole world is fighting with corona.

We are fighting with our own 
•Nonsensical govt,
•Illogical incompetent apathetic PM,
•Bigotry,
•Fake news,
•Religious hostility,
•Poor health infrastructure, 
•Unscientific bladerdash
&amp;
if we have some energy left
#Covid19
#SaveUsGod","['Covid19', 'SaveUsGod']",https://twitter.com/twitter/statuses/1386627144990695424
14,1386621279076290564,PawaskarNilesh,Scientific Innovator in e-commerce,"Nashik, India",901,430,3293,2021-04-26 10:00:49,0,0,@CNBCTV18Live @ECISVEEP @JudeSannith24 What is important #coronavirus prevention or #BengalElection2021 ? @PMOIndia @narendramodi @AmitShah #ElectionCommissionOfIndia  @ECISVEEP @CEOWestBengal #justasking #WestBengalElections   #WestBengalElections2021,"['coronavirus', 'BengalElection2021', 'ElectionCommissionOfIndia', 'justasking', 'WestBengalElections', 'WestBengalElections2021']",https://twitter.com/twitter/statuses/1386621279076290564
15,1386621141268242435,PawaskarNilesh,Scientific Innovator in e-commerce,"Nashik, India",901,430,3293,2021-04-26 10:00:16,0,0,@LambaAlka @ECISVEEP What is important #coronavirus prevention or #BengalElection2021 ? @PMOIndia @narendramodi @AmitShah #ElectionCommissionOfIndia  @ECISVEEP @CEOWestBengal #justasking #WestBengalElections   #WestBengalElections2021,"['coronavirus', 'BengalElection2021', 'ElectionCommissionOfIndia', 'justasking', 'WestBengalElections', 'WestBengalElections2021']",https://twitter.com/twitter/statuses/1386621141268242435
16,1386621079419039745,PawaskarNilesh,Scientific Innovator in e-commerce,"Nashik, India",901,430,3293,2021-04-26 10:00:02,0,0,@TimesNow What is important #coronavirus prevention or #BengalElection2021 ? @PMOIndia @narendramodi @AmitShah #ElectionCommissionOfIndia  @ECISVEEP @CEOWestBengal #justasking #WestBengalElections   #WestBengalElections2021,"['coronavirus', 'BengalElection2021', 'ElectionCommissionOfIndia', 'justasking', 'WestBengalElections', 'WestBengalElections2021']",https://twitter.com/twitter/statuses/1386621079419039745
17,1386620712413245440,PawaskarNilesh,Scientific Innovator in e-commerce,"Nashik, India",901,430,3293,2021-04-26 09:58:34,0,0,@tv9gujarati What is important #coronavirus prevention or #BengalElection2021 ? @PMOIndia @narendramodi @AmitShah #ElectionCommissionOfIndia  @ECISVEEP @CEOWestBengal #justasking #WestBengalElections   #WestBengalElections2021,"['coronavirus', 'BengalElection2021', 'ElectionCommissionOfIndia', 'justasking', 'WestBengalElections', 'WestBengalElections2021']",https://twitter.com/twitter/statuses/1386620712413245440
18,1386620599204712450,PawaskarNilesh,Scientific Innovator in e-commerce,"Nashik, India",901,430,3293,2021-04-26 09:58:07,0,0,@DaaruBaazMehta What is important #coronavirus prevention or #BengalElection2021 ? @PMOIndia @narendramodi @AmitShah #ElectionCommissionOfIndia  @ECISVEEP @CEOWestBengal #justasking #WestBengalElections   #WestBengalElections2021,"['coronavirus', 'BengalElection2021', 'ElectionCommissionOfIndia', 'justasking', 'WestBengalElections', 'WestBengalElections2021']",https://twitter.com/twitter/statuses/1386620599204712450
19,1386620566535299074,PawaskarNilesh,Scientific Innovator in e-commerce,"Nashik, India",901,430,3293,2021-04-26 09:57:59,0,0,@VTankha @ECISVEEP What is important #coronavirus prevention or #BengalElection2021 ? @PMOIndia @narendramodi @AmitShah #ElectionCommissionOfIndia  @ECISVEEP @CEOWestBengal #justasking #WestBengalElections   #WestBengalElections2021,"['coronavirus', 'BengalElection2021', 'ElectionCommissionOfIndia', 'justasking', 'WestBengalElections', 'WestBengalElections2021']",https://twitter.com/twitter/statuses/1386620566535299074
20,1386620487120433152,PawaskarNilesh,Scientific Innovator in e-commerce,"Nashik, India",901,430,3293,2021-04-26 09:57:40,1,0,@THChennai What is important #coronavirus prevention or #BengalElection2021 ? @PMOIndia @narendramodi @AmitShah #ElectionCommissionOfIndia  @ECISVEEP @CEOWestBengal #justasking #WestBengalElections   #WestBengalElections2021,"['coronavirus', 'BengalElection2021', 'ElectionCommissionOfIndia', 'justasking', 'WestBengalElections', 'WestBengalElections2021']",https://twitter.com/twitter/statuses/1386620487120433152
