,Tweet_ID,username,description,location,following,followers,totaltweets,Time_created,Likes Count,retweetcount,text,hashtags,Link
0,1386615553645633537,Abdullahbappi80,Sadharon Manush,,29,12,57,2021-04-26 09:38:04,0,0,Our neighbour country #India pass a horror moment for #COVID19 but why cricket Control board conducting #IPL2021 players might be effected in this new variant. Almighty Allah forgive us.,"['India', 'COVID19', 'IPL2021']",https://twitter.com/twitter/statuses/1386615553645633537
1,1386548820113182723,SnorLaxEsports,"Official account of @SnorLaxEsports 


#GamerstandwithBangladesh",Bangladesh,3,2,5,2021-04-26 05:12:54,1,0,"Praying for India as the country battles the worst Covid-19 surge the world has witnessed. Let's all - irrespective of the place we live in - strictly follow the SOPs 
#India #CoronavirusPandemic #HumanityFirst #COVID19 #snorlaxesports   #indianeedoxygen #COVID19India https://t.co/qsiA2IO2YQ","['India', 'CoronavirusPandemic', 'HumanityFirst', 'COVID19', 'snorlaxesports', 'indianeedoxygen', 'COVID19India']",https://twitter.com/twitter/statuses/1386548820113182723
2,1386235952457080839,D12Raju,"A die-hard supporter to #SheikhHasina & Bangladesh Awami League, A proud '#JoyBangla' man.","Comilla, Bangladesh",770,2634,7868,2021-04-25 08:29:40,10,6,"#COVID19 : Worst-hit in India, someone dying in every 5 mins, daily deaths risen by 75%.

No bed, no ICU, no ventilator, no Oxyzen, no medics..Mass cremations taking place, crematoriums run out of space!
2nd wave hit #India with such FEROCITY! 
#IndiaNeedsOxygen 
#PrayersForIndia https://t.co/bMfswvBm8s","['COVID19', 'India', 'IndiaNeedsOxygen', 'PrayersForIndia']",https://twitter.com/twitter/statuses/1386235952457080839
3,1386100941179346944,UpamChakma,A Dreamer. An analyst.Views & opinions are strictly personal.,"Tripura,India",302,62,869,2021-04-24 23:33:11,0,0,@IndianExpress CAA should be applied on #coronavirus asap!,['coronavirus'],https://twitter.com/twitter/statuses/1386100941179346944
4,1386028452793360385,dr_jobaer,"Doctor of medicine, proud father & husband of a beautiful lady","Comilla, Bangladesh",444,243,22590,2021-04-24 18:45:08,0,0,Of u follow bollywood celebrity and #IPL we will not know they there is a disaster of #covid19 going in the rest of the country,"['IPL', 'covid19']",https://twitter.com/twitter/statuses/1386028452793360385
5,1385625898989154312,dr_jobaer,"Doctor of medicine, proud father & husband of a beautiful lady","Comilla, Bangladesh",444,243,22590,2021-04-23 16:05:32,0,0,Salute to doctors of Barishal medical college and also to this brave son #covid19 #Bangladesh https://t.co/bgbjcuFfMN,"['covid19', 'Bangladesh']",https://twitter.com/twitter/statuses/1385625898989154312
6,1385465909700030464,UpamChakma,A Dreamer. An analyst.Views & opinions are strictly personal.,"Tripura,India",302,62,869,2021-04-23 05:29:48,0,0,Oxygen is the only treatment for #coronavirus infected patients.,['coronavirus'],https://twitter.com/twitter/statuses/1385465909700030464
7,1385134535801589762,iyctripura,"Official Twitter Handle of TPYC:
TPYC President @PujanBiswaspyc
State I/c @iy_Eajesh I IYC SM I/c North East @DrSumitDubey I  IYC SM State I/c @KaliMoumita","Tripura, India",268,1762,10454,2021-04-22 07:33:02,10,8,"For Modiji, Beard care is most important than #COVID19.    
#Movid21 is the only reason for this worst situation India is going through.","['COVID19', 'Movid21']",https://twitter.com/twitter/statuses/1385134535801589762
8,1384509027976052739,SamOfMizoram,,"Aizawl, Mizoram",15,247,1556,2021-04-20 14:07:29,0,0,#NewZealand has been proactive regarding #COVID19. No wonder the country is doing so well. https://t.co/ICch5QxTGb,"['NewZealand', 'COVID19']",https://twitter.com/twitter/statuses/1384509027976052739
9,1384221349762113537,axonmamun,"কর্মী, বাংলাদেশ ছাত্রলীগ,হাজী মুহাম্মদ মহসিন কলেজ,চট্টগ্রাম।","Chittagong, Bangladesh",1036,495,1194,2021-04-19 19:04:22,2,0,"Largest #Covid19 dedicated hospital in #Dhaka inaugurated at DNCC Bhaban, Mohakhali: The 1000-bed facility has 450 general beds, 112 ICU beds, 250 HDU beds and 50 emergency ward beds. The main beds have central oxygen supply.
#Bangladesh #SheikhHasina
-PID, Prothom Alo, Samakal https://t.co/iwTQrEqRrw","['Covid19', 'Dhaka', 'Bangladesh', 'SheikhHasina']",https://twitter.com/twitter/statuses/1384221349762113537
