,Tweet_ID,username,description,location,following,followers,totaltweets,Time_created,Likes Count,retweetcount,text,hashtags,Link
0,1386651697141850119,interviewtimes2,"India’s first Interview based Magazine
Pioneering positive Journalism is the theme of our emergence amid all chaos of sensationalism in journalism.",Bhubaneshwar ,59,146,2273,2021-04-26 12:01:41,0,1,"More than 1,200 metric tonnes of #oxygen has been sent to 7 states – #ADG #YashwantJethwa 

#Covid19 #Covid19patients #Odisha #coronasituation

https://t.co/G18Amxs9jU","['oxygen', 'ADG', 'YashwantJethwa', 'Covid19', 'Covid19patients', 'Odisha', 'coronasituation']",https://twitter.com/twitter/statuses/1386651697141850119
1,1386651506674311170,otvnews,"If something on Odisha is not on https://t.co/tklvVwDip7, it is unlikely to be elsewhere...

Join us on Telegram:  https://t.co/Hu7tZ18lHh
Follow us on Facebook: https://t.co/9UUsXOJEXG","Bhubaneswar, India",256,681505,176690,2021-04-26 12:00:56,82,8,"Oxygen Shortage: KKR’s Pat Cummin Contributes $50,000 To PM CARES Fund 

#COVID19 #OxygenShortage #PMCARESFund #PatCummin #IPL #IPL2021 
https://t.co/YgGpNtJbwi","['COVID19', 'OxygenShortage', 'PMCARESFund', 'PatCummin', 'IPL', 'IPL2021']",https://twitter.com/twitter/statuses/1386651506674311170
2,1386650860877336578,otvnews,"If something on Odisha is not on https://t.co/tklvVwDip7, it is unlikely to be elsewhere...

Join us on Telegram:  https://t.co/Hu7tZ18lHh
Follow us on Facebook: https://t.co/9UUsXOJEXG","Bhubaneswar, India",256,681505,176690,2021-04-26 11:58:22,46,5,"In this #COVID19 situation, please don't go out unnecessarily, and even within the family wear a mask. It is very important to wear a mask. Do not invite people into your home: Dr. VK Paul, Member-Health, Niti Aayog

(ANI)",['COVID19'],https://twitter.com/twitter/statuses/1386650860877336578
3,1386650572439183362,CuttackDM,"Official Account of Collector & District Magistrate, Cuttack","Cuttack, India",84,19258,1588,2021-04-26 11:57:13,5,1,"#COVID19 update #Cuttack District, April 26, 2021
   
New +ve cases reported: 488
CMC: 333
Rural &amp; other ULBs- 146
Other Dist-9
New recoveries 152,
Urban: 89
Rural: 63
Detail  as follows https://t.co/jDWmrgMflf https://t.co/51aBHKAIWw","['COVID19', 'Cuttack']",https://twitter.com/twitter/statuses/1386650572439183362
4,1386650327378632709,janmejay4150,"A foodie stuck in the 90s, ♥️ my sleep 🛌. A xylophile and a minimalist committed to reducing carbon footprint.

PS - my tweets won't change your life.",Bhubaneswar,120,498,13318,2021-04-26 11:56:15,0,0,"#India is battling an unprecedented #COVID19 surge and #OxygenShortage. #Mizoram is burning. While we #PRAYFORMIZORAM, it cannot be business as usual. Our politicians need to wake up. #ClimateAction https://t.co/ixv5hUl1rs","['India', 'COVID19', 'OxygenShortage', 'Mizoram', 'PRAYFORMIZORAM', 'ClimateAction']",https://twitter.com/twitter/statuses/1386650327378632709
5,1386650112898727938,otvnews,"If something on Odisha is not on https://t.co/tklvVwDip7, it is unlikely to be elsewhere...

Join us on Telegram:  https://t.co/Hu7tZ18lHh
Follow us on Facebook: https://t.co/9UUsXOJEXG","Bhubaneswar, India",256,681505,176690,2021-04-26 11:55:24,21,4,"‘Antiseptic Throat Spray, Malaria Drug May Curb COVID19 Spread’ 

#COVID19 
https://t.co/oiG9tremiX",['COVID19'],https://twitter.com/twitter/statuses/1386650112898727938
6,1386649016713183238,rabindrakjena,"Member of 16th Lok Sabha from Balasore, Odisha, #India; Biju Janata Dal; RTs do not imply endorsement.","Balasore, Odisha",146,4422,5288,2021-04-26 11:51:02,4,1,"As our nation reels under the devastating 2nd wave of #COVID19, In these unprecedented times, the state of #Odisha stands the test of time by ensuring continuous supply of life-saving medical oxygen to several states who are in dire need of it. https://t.co/cKbVTHqr0d","['COVID19', 'Odisha']",https://twitter.com/twitter/statuses/1386649016713183238
7,1386648665335369733,MBCTVODISHA,"We grow...Therefore We Change...   Official Page of MBCtv, Odisha.","Bhubaneshwar, India",267,35285,49852,2021-04-26 11:49:39,0,0,"In this COVID19 situation, please do not go out unnecessarily, and also wear a mask within the family. It is very important to wear a mask Do not invite people to your home.
Dr. VK Pal, Member-Health, Niti Aayog
#COVID19 https://t.co/3UHjS7vHrC",['COVID19'],https://twitter.com/twitter/statuses/1386648665335369733
8,1386647231432859649,Kalingatv,"When it comes to Breaking News, Kalinga TV leads the Way with 24x7 Coverage.","Odisha, India",181,103949,88031,2021-04-26 11:43:57,2,0,#BREAKING: Admission in elementary and secondary schools (for session 2021-22) to be completed by May 31. The admission process to be conducted between 7am to 9:30 am on all working days following the #COVID19 guidelines: School and Mass Education Department #Odisha https://t.co/NIvMayUTIG,"['BREAKING', 'COVID19', 'Odisha']",https://twitter.com/twitter/statuses/1386647231432859649
9,1386647219684605954,otvnews,"If something on Odisha is not on https://t.co/tklvVwDip7, it is unlikely to be elsewhere...

Join us on Telegram:  https://t.co/Hu7tZ18lHh
Follow us on Facebook: https://t.co/9UUsXOJEXG","Bhubaneswar, India",256,681505,176690,2021-04-26 11:43:54,45,3,"Most Irresponsible Institution, Should Be Charged With Murder: Madras HC Lashes Out At EC

#AssemblyElections #COVID19 
 https://t.co/lx2Pjtw6hA","['AssemblyElections', 'COVID19']",https://twitter.com/twitter/statuses/1386647219684605954
10,1386644150116708359,drdebashisnanda,"Pledged to serve humanity.
https://t.co/mb2bfb9ZDj
https://t.co/JvHYtyQ48k","Bhubaneshwar, India",1020,236,790,2021-04-26 11:31:42,0,0,"Desh wale khelte reh gaye, videshi saamne aaye udhaar ke liye.

🙌🙌 @patcummins30 much obliged on behalf of my country for your contribution towards fighting against the deadly #COVID19 disease. https://t.co/veCXiecHkH",['COVID19'],https://twitter.com/twitter/statuses/1386644150116708359
11,1386642669540048897,Sourabh7750,"A Book| Traveler 🛫
Entrepreneur  ➕ Motivational Speaker🎤
Yes! Definitely, i am in Love with Success.🇮🇳","Bhubaneshwar, India",51,13,38,2021-04-26 11:25:49,1,0,"Is this the way to find solutions?
Its time for self awareness and self care.
Don't attend rallies if we do fear of spreading corona,
Don't go for vote if you want election news to be cancelled,Wear mask and take proper precautions.
#coronavirus #MaskUpIndia #CoronavirusPandemic","['coronavirus', 'MaskUpIndia', 'CoronavirusPandemic']",https://twitter.com/twitter/statuses/1386642669540048897
12,1386642431790043142,shantishreee,Please Follow me.,Jajpur,141,131,68,2021-04-26 11:24:52,1,1,"3 legends in one frame.

#COVID19  #COVIDEmergency2021 https://t.co/5Q0vBDg30t","['COVID19', 'COVIDEmergency2021']",https://twitter.com/twitter/statuses/1386642431790043142
13,1386641194227093506,DeepakK86470098,"ଜୟ ଶ୍ରୀ ରାମ, ଭାରତ ମାତା କି ଜୟ. Social Influencer by passion. 
राष्ट्रसेबक 🙏🙏.. personal thought that makes me different. ସେବା ହିଁ ପରମ ଧର୍ମ","Orissa, India",383,328,5249,2021-04-26 11:19:57,0,0,"What diplomacy can understand now:Liberandu
#coronavirus
#OxygenEmergency","['coronavirus', 'OxygenEmergency']",https://twitter.com/twitter/statuses/1386641194227093506
14,1386639300096262152,otvnews,"If something on Odisha is not on https://t.co/tklvVwDip7, it is unlikely to be elsewhere...

Join us on Telegram:  https://t.co/Hu7tZ18lHh
Follow us on Facebook: https://t.co/9UUsXOJEXG","Bhubaneswar, India",256,681505,176690,2021-04-26 11:12:26,46,1,"Former Phulbani MP Sugrib Singh Dies Of #Covid19  #Odisha

https://t.co/RznqVC6wIF","['Covid19', 'Odisha']",https://twitter.com/twitter/statuses/1386639300096262152
15,1386637273433735168,Sambad_English,"Odisha Sun Times is now Sambad English. We cover Breaking News, Alerts & Feature Articles.

Join us on: https://t.co/dVPFiHHyyo",Odisha,4,51824,84110,2021-04-26 11:04:23,6,1,"#Odisha: Former MP succumbs to #Covid19  

#CovidSecondWave 

https://t.co/hvCLmMVPQn","['Odisha', 'Covid19', 'CovidSecondWave']",https://twitter.com/twitter/statuses/1386637273433735168
16,1386634538026037249,pradhandebadas,Staff Reporter at The Pioneer at The Pioneer news,"Bhubaneshwar, India",31,17,177,2021-04-26 10:53:30,0,0,"Here's the list of #COVID19 Testing Centres set up at various health facilities in Rourkela, Sundargarh and other areas under different municipalities &amp; bocks. The testing facility is available from 8 am to 12 pm &amp; 3 pm to 6 pm for the people. @DMSundargarh @IPR_Odisha
@HFWOdisha https://t.co/pLu6wJOG0Q",['COVID19'],https://twitter.com/twitter/statuses/1386634538026037249
