,Tweet_ID,username,description,location,following,followers,totaltweets,Time_created,Likes Count,retweetcount,text,hashtags,Link
0,1386647414887514118,shivaprints07,"....Print unique as your thoughts....
we are service to our print needs..
Multicolor Ultra HD Printout
we do our services in Pondicherry,India","Pondicherry, India",199,24,238,2021-04-26 11:44:41,0,0,"Hand Sanitizer LABEL STICKER
.
.
Attractive and colorful hand sanitizer label and customized shape
.
.
Make an order at +91 96773 14222
#handsanitizer #covid #masker #dirumahaja #coronavirus #sanitizer #handsanitizermurah #corona #staysafe #handsanitizers #stayathome #stayhome https://t.co/KX5IN0P5gi","['handsanitizer', 'covid', 'masker', 'dirumahaja', 'coronavirus', 'sanitizer', 'handsanitizermurah', 'corona', 'staysafe', 'handsanitizers', 'stayathome', 'stayhome']",https://twitter.com/twitter/statuses/1386647414887514118
1,1386619848621494273,pyinteriors1,"As interior design consultants, we advise clients on topics related to the design of interior space.",Pondicherry,6,2,70,2021-04-26 09:55:08,1,0,20 Seconds that could save your life  #covid19 #stayhome #staysafe #covid #coronavirus #corona #stayhome #staysafe #stayathome #lockdown #quarantine #d #socialdistancing #pandemic #love #india  #mask #news #quarantinelife  #handwash https://t.co/xu2skeSA6g,"['covid19', 'stayhome', 'staysafe', 'covid', 'coronavirus', 'corona', 'stayhome', 'staysafe', 'stayathome', 'lockdown', 'quarantine', 'd', 'socialdistancing', 'pandemic', 'love', 'india', 'mask', 'news', 'quarantinelife', 'handwash']",https://twitter.com/twitter/statuses/1386619848621494273
2,1386586901595840512,pondy_live,A local online publication for all things Puducherry: Events. Heritage. Culture. News. Daily COVID19 updates & info for locals & tourists,"Pondicherry, India ",112,1521,1969,2021-04-26 07:44:13,2,2,"Active #COVID19 cases in #Puducherry stand at 7510 , while 184975 people got #vaccinated till now.
#CoronavirusPandemic
 #IndiaFightsCOVID19 #Corona2ndWave #COVIDEmergency2021 #MaskUpPY https://t.co/gU1um8dEuu","['COVID19', 'Puducherry', 'vaccinated', 'CoronavirusPandemic', 'IndiaFightsCOVID19', 'Corona2ndWave', 'COVIDEmergency2021', 'MaskUpPY']",https://twitter.com/twitter/statuses/1386586901595840512
3,1386585232627752961,sharanramlingam,Impatient Optimist | Politics | Techie | Further Read me !,"Pondicherry, India",136,60,649,2021-04-26 07:37:35,1,1,"#Puducherry today's (26-04-2021) #COVID19 case status...
Stay safe and wear #Masks . https://t.co/hzKXa8ZRwM","['Puducherry', 'COVID19', 'Masks']",https://twitter.com/twitter/statuses/1386585232627752961
4,1386581441165762562,SALEEMBASHAJBA1,𝐉.𝐒𝐀𝐋𝐄𝐄𝐌 𝐁𝐀𝐒𝐇𝐀 𝐉.𝐑.𝐂 𝐓𝐑𝐀𝐍𝐒𝐏𝐎𝐑𝐓 𝐏𝐎𝐍𝐃𝐈𝐂𝐇𝐄𝐑𝐑𝐘,PONDICHERRY ,78,13,237,2021-04-26 07:22:31,0,0,"PONDICHERRY CORONAVIRUS 
UPDATE 
#PUDUCHERRY 
#CORONAUPDATE 
#STAYHOMEINDIA 
#COVID19 
#STAYSAFE 
#SALEEMBASHA https://t.co/Qx9fw5MbaH","['PUDUCHERRY', 'CORONAUPDATE', 'STAYHOMEINDIA', 'COVID19', 'STAYSAFE', 'SALEEMBASHA']",https://twitter.com/twitter/statuses/1386581441165762562
5,1386574650315091968,THPondy,The official Twitter account of The Hindu's news bureau in Puducherry. Follow us for news updates on the Union Territory.,Puducherry,121,9962,9630,2021-04-26 06:55:32,20,7,"Just in | #Puducherry registered 10 #COVID19 deaths, 747 new cases and 515 recoveries on Monday. The tally is 758 deaths, 7,510 active cases, a total of 54,026 cases and 45,758 patients recovered.
- @mdineshvarma reports.
All updates: https://t.co/GaFwmwgq5m","['Puducherry', 'COVID19']",https://twitter.com/twitter/statuses/1386574650315091968
6,1386565604379869191,dp_karthik,Rêveuse 👌 #SoftwareEngineer 👨‍💻|  #Photoshop 👨‍🎨 | #VideoEditor 🎥|  #Thalapathy 🔥|#ViratKohli 1⃣8⃣| #YSR 🎼| #JB 👨‍🎤|#Riri 👩‍,Pondicherry,781,6640,30416,2021-04-26 06:19:35,49,15,"Many players are leaving to their home and some are leaving back to their country due to #Covid19 crisis in India.

#IPL2021","['Covid19', 'IPL2021']",https://twitter.com/twitter/statuses/1386565604379869191
7,1386555852685856770,DhishiOd,"⚕️MEDICO⚕️💉💊💉
⚜️THALA rasigai⚜️
  💫Aari rasigai💫
✨give respect ,take respect🤙
💫💥PONDY made💫💥","Pondicherry, India",207,145,2333,2021-04-26 05:40:50,6,1,"💙Good initiative dear @mipaltan Fam💙
💙always bleed #BlueHeart 💙
💙Proud of u 💙
#MumbaiIndians 
#OneFamily 
#COVID19 
#Covid19IndiaHelp  
#IPL2021 https://t.co/5ApmeUfAQ6","['BlueHeart', 'MumbaiIndians', 'OneFamily', 'COVID19', 'Covid19IndiaHelp', 'IPL2021']",https://twitter.com/twitter/statuses/1386555852685856770
8,1386549359601283077,ThalaPrabu0708,"#Thala Veriyan. Amma-Appa-#Ajith... Live, Let Live......
 #என்றும்_தலஅஜித். Sai Sai🙏🏻.
Backup ID : @ThalaPrabu0508",Villupuram,2008,2365,109338,2021-04-26 05:15:02,2,0,"More #Australian cricketers come out of #IPL2021 bubble and return home . After #AndrewTye , now #RCB players #AdamZampa &amp; #KaneRichardson are going back to #Australia as #COVID19 cases surge in #India.","['Australian', 'IPL2021', 'AndrewTye', 'RCB', 'AdamZampa', 'KaneRichardson', 'Australia', 'COVID19', 'India']",https://twitter.com/twitter/statuses/1386549359601283077
9,1386520746860576772,iashwinderick,"All about #Photography #Poetry #Food


https://t.co/4mxM5mKKEg
https://t.co/D8GRERcpt6
https://t.co/EJ61GpTafg",India,39,4,32,2021-04-26 03:21:21,1,0,This year's #Oscars sucks more than the #COVID19 pandemic 😓,"['Oscars', 'COVID19']",https://twitter.com/twitter/statuses/1386520746860576772
