,Tweet_ID,username,description,location,following,followers,totaltweets,Time_created,Likes Count,retweetcount,text,hashtags,Link
0,1386671559314604035,sportstigerapp,Follow SportsTiger for latest sports news around the globe | Live Matches | Videos | Scorecards | Fantasy Predictions | Match Highlights & much more,"Jaipur, Rajasthan",70,1720,26844,2021-04-26 13:20:37,0,0,"Read Full Story: https://t.co/6LyzoZIifD
BREAKING NEWS I 7 Indian players &amp; 2 staff members test positive for Coronavirus

#NewsUpdate #SportsNews #Covid19 #TeamIndia","['NewsUpdate', 'SportsNews', 'Covid19', 'TeamIndia']",https://twitter.com/twitter/statuses/1386671559314604035
1,1386671205323710465,avinashkalla,"Dad,husband,son,friend,traveller & storyteller. @journalism_talk ex- @timesofindia @Mail_Today alumns @UniWestminster",jaipur,613,10285,31079,2021-04-26 13:19:13,6,2,"#Rajasthan #Covid19 update 
16438 cases and 84 deaths.  #Jaipur 2878 #Jodhpur 1711 cases #Staysafe  #MaskUp https://t.co/FOS1unvrQS","['Rajasthan', 'Covid19', 'Jaipur', 'Jodhpur', 'Staysafe', 'MaskUp']",https://twitter.com/twitter/statuses/1386671205323710465
2,1386671130765713417,Sandeeptak1616,Reporter News 24 Ajmer  tweets are personal thoughts & News Information. Please don't mix with my job or company.,"Ajmer, India",27,34,55,2021-04-26 13:18:55,0,0,"#Rajasthan
26th April 21 #COVID19 6pm Bulletin

16438 Positive Cases,84 Death Reports
Active Cases Reaches 146640
Deaths 3685
Cumulative 530875
Recovered Cases 6416

2878 #Jaipur
1711 #Jodhpur
1621 #Alwar
955 #Kota
794 #Pali
778 #Sikar
701 #Bhilwara
#Covid19 #CoronaPandemic https://t.co/yLtRA8l4Gh","['Rajasthan', 'COVID19', 'Jaipur', 'Jodhpur', 'Alwar', 'Kota', 'Pali', 'Sikar', 'Bhilwara', 'Covid19', 'CoronaPandemic']",https://twitter.com/twitter/statuses/1386671130765713417
3,1386670712161636360,imraul_sharma,🇮🇳,"Jaipur, India",4,5,32,2021-04-26 13:17:15,0,0,"It seems that no one is doing anything other than just #judiciary. #Govt Doesn't care about people's life. The #government is busy in elections. 
#CovidIndia #COVID19India #COVID19","['judiciary', 'Govt', 'government', 'CovidIndia', 'COVID19India', 'COVID19']",https://twitter.com/twitter/statuses/1386670712161636360
4,1386670613788385281,JaipurDialogues,An Endeavour to change the Narrative for the New Millennium India | Follow Our Youtube Channel - https://t.co/o0hYfT4JTg,"Jaipur, India",516,18386,8492,2021-04-26 13:16:52,3,0,"Analysis of Bengal Elections for 34 seats in 7th Phase Amid Covid with @dhirendrapundir and @Sanjay_Dixit LIVE at 7 PM IST. 

Link - https://t.co/9CihBbUgWs

#assemblyelections2021 #westbengal #COVID19 #politics #TMCvsBJP #bengalelections #StaySafe #TJD #TheJaipurDialogues https://t.co/Pukew9lY6a","['assemblyelections2021', 'westbengal', 'COVID19', 'politics', 'TMCvsBJP', 'bengalelections', 'StaySafe', 'TJD', 'TheJaipurDialogues']",https://twitter.com/twitter/statuses/1386670613788385281
5,1386670508305879045,thefirstindia,Welcome to the Official Twitter page of First India Newspaper. Follow us for the latest updates. #FirstIndia | 📱Download App: https://t.co/ttcbQyyCKj,"Jaipur, India",228,7107,82638,2021-04-26 13:16:26,1,0,"It's time people start wearing masks inside their homes as well: Union Health Ministry

Read More: https://t.co/4J6zvqHtdG

#coronavirus #Corona2ndWave #IndiaFightsCorona  @MoHFW_INDIA","['coronavirus', 'Corona2ndWave', 'IndiaFightsCorona']",https://twitter.com/twitter/statuses/1386670508305879045
6,1386669287411044353,thefirstindia,Welcome to the Official Twitter page of First India Newspaper. Follow us for the latest updates. #FirstIndia | 📱Download App: https://t.co/ttcbQyyCKj,"Jaipur, India",228,7107,82638,2021-04-26 13:11:35,0,0,"Union Home Secretary #AjayBhalla on Monday wrote to all states and UT governments to implement an intensive, local and focused containment framework for #COVID management.

#IndiaFightsCorona #coronavirus #Corona2ndWave 
https://t.co/u6Sjto71Bz","['AjayBhalla', 'COVID', 'IndiaFightsCorona', 'coronavirus', 'Corona2ndWave']",https://twitter.com/twitter/statuses/1386669287411044353
7,1386668078553993218,thefirstindia,Welcome to the Official Twitter page of First India Newspaper. Follow us for the latest updates. #FirstIndia | 📱Download App: https://t.co/ttcbQyyCKj,"Jaipur, India",228,7107,82638,2021-04-26 13:06:47,2,0,"#Thailand's Prime Minister Prayuth Chan-ocha was fined 6,000 baht ($190) on Monday for breaching rules aimed at containing the #coronavirus by not wearing a face mask

#covidguidelines #Corona2ndWave #COVIDrules @prayutofficial https://t.co/N92ON0bYcN","['Thailand', 'coronavirus', 'covidguidelines', 'Corona2ndWave', 'COVIDrules']",https://twitter.com/twitter/statuses/1386668078553993218
8,1386665329259016192,deepadoc,"Ayurveda Dr|
PG in Panchkarma|
MSc
Clinical Nutrition & Dietetics| Women Rights Activist |
Entrepreneur | Writer | Poet|
For Consultation- d2sayurveda@gmail.com","Jaipur, India",988,13465,34552,2021-04-26 12:55:52,5,0,"I know after 6 to 8 week we can get second dose of #Covishield but I read that better protection,better percentage of immunity against #COVID19 after 8 week, even some experts says one can take second dose even till 12th week.
From 1may vaccine shortage might happen.
#CovidIndia","['Covishield', 'COVID19', 'CovidIndia']",https://twitter.com/twitter/statuses/1386665329259016192
9,1386665237596700673,RamrajC93952644,wendor at news nation in rajsthan,"Jaipur, India",748,43,535,2021-04-26 12:55:30,1,0,"#Rajasthan
26th April 21 #COVID19 6pm Bulletin

Plz #WearAMask #StaySafe

16438 Positive Cases,84 Death Reports
Active Cases Reaches 146640
Deaths 3685
Cumulative 530875
Recovered Cases 6416

2878 #Jaipur
1711 #Jodhpur
1621 #Alwar
955 #Kota
794 #Pali
778 #Sikar
701 #Bhilwara https://t.co/DsjqiwOjjo","['Rajasthan', 'COVID19', 'WearAMask', 'StaySafe', 'Jaipur', 'Jodhpur', 'Alwar', 'Kota', 'Pali', 'Sikar', 'Bhilwara']",https://twitter.com/twitter/statuses/1386665237596700673
