,Tweet_ID,username,description,location,following,followers,totaltweets,Time_created,Likes Count,retweetcount,text,hashtags,Link
0,1386614888571703297,VikasReports,"Journalist - tracking Indian pharma industry; observer of world healthcare/pharma/biotech trends...views own, no noise. vikas.dandekar@timesinternet.in","Thane West, India",557,12587,28874,2021-04-26 09:35:26,5,4,"#Natco Seeks emergency approval to launch #Molnupiravir for #COVID19 in India

https://t.co/EBkNeIxg4o

 Download Economic Times App to stay updated with Business News - https://t.co/gbgKJ1aLW4 https://t.co/2CdMjKDT3U","['Natco', 'Molnupiravir', 'COVID19']",https://twitter.com/twitter/statuses/1386614888571703297
1,1386604636149149698,Arun8877,Construction Designing and engineering - Interior and Exterior. Man Utd fan. Hate Indian politicians. Love sleeping. Looking to settle some peaceful country.,South India,966,160,1319,2021-04-26 08:54:41,0,0,Because there are bunch of stupids and uneducated #COVIDEmergency2021 #COVIDIOTS #COVID19 #indianeedoxygen https://t.co/pbQmJPi5hf,"['COVIDEmergency2021', 'COVIDIOTS', 'COVID19', 'indianeedoxygen']",https://twitter.com/twitter/statuses/1386604636149149698
2,1386590043087593476,Dtroffle,"Dtroffle focuses on helping you to establish a brand.We center around welcoming your organization on the guide, and building it up as a brand.",northern India,198,70,217,2021-04-26 07:56:42,2,0,"“Content is not king, but a president elected by the votes of those whom it aims to rule.”
Raheel Farooq

#quotes #quote #quoteoftheday #mondaythoughts #MotivationalQuotes #business #COVID19","['quotes', 'quote', 'quoteoftheday', 'mondaythoughts', 'MotivationalQuotes', 'business', 'COVID19']",https://twitter.com/twitter/statuses/1386590043087593476
3,1386519293345468416,onemevinod,"|| Citizen of Earth  || Political Analyst ll   Believe in equality ,liberty & Justice. Founder AMCF Trust .Views are personal  .",South of India,752,912,5353,2021-04-26 03:15:34,2,0,"If #Remidesivir is no more an Emergency life saying drug says chief of #Aiims after #mankibaat 🤦

Till yesterday all doctors felt #Remidesivir is the only essential  #Lifesaving Drug &amp; Now😂

Nice balancing .. let their be No politics in Medicine #COVIDIOTS 
#COVID19 #Politics","['Remidesivir', 'Aiims', 'mankibaat', 'Remidesivir', 'Lifesaving', 'COVIDIOTS', 'COVID19', 'Politics']",https://twitter.com/twitter/statuses/1386519293345468416
4,1386503274501574658,airnews_gangtok,"Official account of Regional News Unit, All India Radio, Gangtok","Gangtok, India",5,858,1979,2021-04-26 02:11:55,0,0,"#sikkim #COVID19 update: new cases 148, total cases 7303, active 934, cured and discharged 6073, deaths 138 and 2266 people vaccinated in a single day: #health department.","['sikkim', 'COVID19', 'health']",https://twitter.com/twitter/statuses/1386503274501574658
5,1386382217023131649,MadhurimaB_1,"Storyteller by profession.
Mask up! Be safe!",North India,61,37,691,2021-04-25 18:10:52,2,1,"https://t.co/VFxYqMoB1n
The second wave has also impacted the #consumersentiment negatively. It had bounced back in Jan. Now it is down again. #vaccination, #SOPs and a sound infrastructure for treatment of covid patients  will only herald normalcy. #covid19India #covid19 #ipsos","['consumersentiment', 'vaccination', 'SOPs', 'covid19India', 'covid19', 'ipsos']",https://twitter.com/twitter/statuses/1386382217023131649
6,1386381525831270401,Yasm1nK,journalist. @trtworld @nytimes @guardian @bbc @middleeasteye @huffpostUK (@WTempleFdn scholar) tweets all my own.,LDN,803,4861,19896,2021-04-25 18:08:08,2,0,"Just spent some time with my fully vaccinated mum without thinking about #COVID19 💚 

Thank you to everyone who helped make that happen. Moments that’s words just can’t do justice.",['COVID19'],https://twitter.com/twitter/statuses/1386381525831270401
7,1386339329455181827,airnews_gangtok,"Official account of Regional News Unit, All India Radio, Gangtok","Gangtok, India",5,858,1979,2021-04-25 15:20:27,0,0,"#sikkim: Central Referral Hospital (Manipal), Gangtok to segregate minimum 100-bedded ward for #COVID19 patients. https://t.co/59djDN3Dps","['sikkim', 'COVID19']",https://twitter.com/twitter/statuses/1386339329455181827
8,1386220735912349698,Yasm1nK,journalist. @trtworld @nytimes @guardian @bbc @middleeasteye @huffpostUK (@WTempleFdn scholar) tweets all my own.,LDN,803,4861,19896,2021-04-25 07:29:12,0,0,Incredible images on @BBCBreakfast this morning looking at still images of the #covid vaccination programme in the UK #BBCBreakfast #covid19,"['covid', 'BBCBreakfast', 'covid19']",https://twitter.com/twitter/statuses/1386220735912349698
9,1386208534069604362,TenzingTenzing3,"Judge less, love more :)","Gangtok,Sikkim",246,332,19314,2021-04-25 06:40:43,0,0,this year seems no different from last year. #reliving #covid19 all over again. ugh.,"['reliving', 'covid19']",https://twitter.com/twitter/statuses/1386208534069604362
