,Tweet_ID,username,description,location,following,followers,totaltweets,Time_created,Likes Count,retweetcount,text,hashtags,Link
0,1386666648648568838,siddharthkausha,"IPS || IIM || St.Stephen's || Superintendent of Police, Prakasam District","Andhra Pradesh, India",41,6041,545,2021-04-26 13:01:06,10,0,All medical personnel retired from armed forces in last 2 years to work in #COVID19 facilities near their residence: CDS tells PM,['COVID19'],https://twitter.com/twitter/statuses/1386666648648568838
1,1386664735748231170,FansOngole,"My 206 bones, 7.6trillions of blood cells, 5.5litres of blood, 100billion nerves, 78 organs chant 'NTR'❤","Ongole, India",27,861,5997,2021-04-26 12:53:30,2,1,"As The Nation Is Suffering With #Covid19 Pandemic Currently, We Have Decided To Stop All The Upcoming @tarak9999's Birthday Related Trends.

Going Forward We Will Be Doing Our Part Of Help By Sharing Emergency Tweets.

Plz DM/Mention Us In Emergency Tweets, We Will Share It.",['Covid19'],https://twitter.com/twitter/statuses/1386664735748231170
2,1386662246412025856,GouthamS_24,🇮🇳|B+ve,"Guntur, India",299,19,175,2021-04-26 12:43:37,0,0,"Donote your CRED coins to raise Oxygen.

#Milaap
#COVID19India 
#COVID19 https://t.co/swDGkhrVnx","['Milaap', 'COVID19India', 'COVID19']",https://twitter.com/twitter/statuses/1386662246412025856
3,1386657702382686209,NTRTHEWARRIOR,"official fan page of JrNTR ✊
Follow our page for more updates of @tarak9999","Eluru, India",37,3164,15424,2021-04-26 12:25:33,7,4,"As The Nation Is Suffering With #Covid19 Pandemic Currently, We Have Decided To Stop All The Upcoming @tarak9999's Birthday Related Trends.

Going Forward We Will Be Doing Our Part Of Help By Sharing Emergency Tweets.

Plz DM/Mention Us In Emergency Tweets, We Will Share It.",['Covid19'],https://twitter.com/twitter/statuses/1386657702382686209
4,1386657479149252609,NathShirdi,"Karma Believer 
Die hard  fan of @alwaysramcharan @ashikarangnath
My attitude depends on ur behavior.....
 mobile Editor 
love to #edit 💙🥰💞","Ongole, India",424,84,5905,2021-04-26 12:24:40,1,1,"Please Take Care.... #Carona2ndWave 
#COVID19 
#StayHomeStaySafe 
#MaskOn https://t.co/JmdwwMHKdo","['Carona2ndWave', 'COVID19', 'StayHomeStaySafe', 'MaskOn']",https://twitter.com/twitter/statuses/1386657479149252609
5,1386655987357024261,suresh_unna,,"Ongole, India",431,22,3997,2021-04-26 12:18:44,1,1,"As The Nation Is Suffering With #Covid19 Pandemic Currently, We Have Decided To Stop All The Upcoming @tarak9999's Birthday Related Trends.

Going Forward We Will Be Doing Our Part Of Help By Sharing Emergency Tweets🙏

Plz DM/Mention Us In Emergency Tweets, We Will Share It.",['Covid19'],https://twitter.com/twitter/statuses/1386655987357024261
6,1386645656454893569,svs_ganesh,#Medico🛫💊💉 To be a Doctor👨‍⚕️ @TARAKANNA__FAN🤙💃🔥,"Cebu City, Central Visayas",1228,1159,8593,2021-04-26 11:37:41,4,4,"Lets all Share and Retweet the covid News 

Lets all stand together and Fight #COVID19 

Jai NTR ✊",['COVID19'],https://twitter.com/twitter/statuses/1386645656454893569
7,1386642958229803009,ha_p_i,"@PawanKalyan 💖 
𝗖𝗶𝗻𝗲𝗺𝗮 🎦  𝗣𝗼𝗹𝗶𝘁𝗶𝗰𝘀 🎤
#𝗧𝗵𝗮𝗺𝗮𝗻𝗙𝗮𝗻𝗱𝗼𝗺𝗚𝗿𝗼𝘂𝗽 🎧
Just Do . Don't Talk 💥","Andhra Pradesh, India",427,310,51412,2021-04-26 11:26:58,0,0,"Check 📍
Before Buying Remdesivir
.
#COVID19 #IndiaFightsCOVID19 https://t.co/Pds1Ffz3OG","['COVID19', 'IndiaFightsCOVID19']",https://twitter.com/twitter/statuses/1386642958229803009
8,1386641301370810372,tarakloki9999,"@tarak9999 clut
@jaitdp clut
✊🏻పుటింది @tarak9999 అన్న అభిమాని గానే చచ్చేది తారక్ అన్న అభిమాని గనే✊🏻 clut
@tarak9999 అన్న అభిమాని గా పుటినరోజు 29 march","Ongole, India",280,566,26181,2021-04-26 11:20:23,0,0,"As The Nation Is Suffering With #Covid19 Pandemic Currently, We Have Decided To Stop All The Upcoming @tarak9999's Birthday Related Trends.

Going Forward We Will Be Doing Our Part Of Help By Sharing Emergency Tweets.

Plz DM/Mention Us In Emergency Tweets, We Will Share It.",['Covid19'],https://twitter.com/twitter/statuses/1386641301370810372
9,1386639396284243968,SnigdhaTarock,MOVIE'S & POLITICS,"Andhra Pradesh, India",43,643,5632,2021-04-26 11:12:49,0,0,"As The Nation Is Suffering With #Covid19 Pandemic Currently, We Have Decided To Stop All The Upcoming @tarak9999's Birthday Related Trends.

Going Forward We Will Be Doing Our Part Of Help By Sharing Emergency Tweets🙏

Plz DM/Mention Us In Emergency Tweets, We Will Share It.",['Covid19'],https://twitter.com/twitter/statuses/1386639396284243968
