,Tweet_ID,username,description,location,following,followers,totaltweets,Time_created,Likes Count,retweetcount,text,hashtags,Link
0,1386668015190564867,sarbanandsonwal,Chief Minister of Assam,"Assam, India",114,929276,14940,2021-04-26 13:06:32,4,1,"Visited GMCH, Guwahati &amp; took stock of oxygen availability. 3 newly constructed oxygen plants are working in full pace &amp; all necessary resources for #COVID19 patients are being boosted. We are taking all steps to fight this pandemic.

I urge all to #MaskUp 😷 &amp; stay responsible. https://t.co/ePcJxcUqGn","['COVID19', 'MaskUp']",https://twitter.com/twitter/statuses/1386668015190564867
1,1386666380074815491,assamtribuneoff,"Official Twitter account of The Assam Tribune, North-East's leading daily English newspaper.",Guwahati,52,1416,4518,2021-04-26 13:00:02,1,0,"The #MadrasHighCourt today came down hard on the @ECISVEEP and called it the ""the most irresponsible institution"" for the alleged spread of the second wave of #Covid19 in the country.

#TheAssamTribune 

https://t.co/M4DXptvWF7","['MadrasHighCourt', 'Covid19', 'TheAssamTribune']",https://twitter.com/twitter/statuses/1386666380074815491
2,1386665894160441345,NewsLiveGhy,"Pushing Northeast 24x7! Number One Assamese news channel. Bringing you news as they unfold, and sharp perspectives. (Pride East Entertainments Pvt Ltd)","Guwahati, India",89,100103,42506,2021-04-26 12:58:06,9,2,"Germany to send oxygen, medicines to India amid COVID-19 crisis

#Germany #India #COVID19 #Oxygen #Medicines

 https://t.co/X0xm6LlusK via @NewsLiveGhy","['Germany', 'India', 'COVID19', 'Oxygen', 'Medicines']",https://twitter.com/twitter/statuses/1386665894160441345
3,1386665852578107397,amitsharma_ghy,Life is short - enjoy and be responsible,Guwahati ,97,31,188,2021-04-26 12:57:56,0,0,@himantabiswa Thanks for the proactive decisions.  I am sure this will help the young ones stay safe from #COVID19 continuing their #knowledge pursuit from their #Homes @mygovassam @DCKamrupMetro,"['COVID19', 'knowledge', 'Homes']",https://twitter.com/twitter/statuses/1386665852578107397
4,1386662552063512579,headline8assam,"A Digital Media Network from North-East India. For updated news, please follow us!",Guwahati,60,74,4154,2021-04-26 12:44:50,0,0,"Arrange for Access to Oxygen Services in Public Places Outside the Hospitals: AJP 
#Headline8 #COVID19 #OxygenEmergency @JatiyaParishad 

https://t.co/tYneTLvdH7","['Headline8', 'COVID19', 'OxygenEmergency']",https://twitter.com/twitter/statuses/1386662552063512579
5,1386662203051237381,NewsLiveGhy,"Pushing Northeast 24x7! Number One Assamese news channel. Bringing you news as they unfold, and sharp perspectives. (Pride East Entertainments Pvt Ltd)","Guwahati, India",89,100103,42506,2021-04-26 12:43:26,12,3,"Parul Devi Das, first woman IAS officer from Assam passes away due to COVID19 
#FirstIAS #COVID19 #ParulDeviDas #Assam

https://t.co/E4M9vTPMZC via @NewsLiveGhy","['FirstIAS', 'COVID19', 'ParulDeviDas', 'Assam']",https://twitter.com/twitter/statuses/1386662203051237381
6,1386662172797726721,Sohiidul,𝓅𝒽𝒾𝓁𝒶𝓃𝓉𝒽𝓇𝑜𝓅𝒾𝓈𝓉,"Assam, India",387,97,4692,2021-04-26 12:43:19,1,0,"Please support @srinivasiyc ... He has genuinely helped many 

#coronavirus https://t.co/E8L8G5rSJg",['coronavirus'],https://twitter.com/twitter/statuses/1386662172797726721
7,1386661318841683969,Dr_BhabenC,This is the official Twitter Handle of Dr. Bhaben Choudhury,Guwahati,12,27,42,2021-04-26 12:39:55,1,0,"I support the statement made by Madras High Court that Election Commission is solely responsible for the second wave of #COVID19

Why is EC silent and not taking any action to stop political campaign in poll bound states?

Is EC a mouthpiece of the Modi's dictatorship? https://t.co/KCneki28gz",['COVID19'],https://twitter.com/twitter/statuses/1386661318841683969
8,1386661220346851331,Satyabrata_m7,,"Guwahati, India",41,18,36,2021-04-26 12:39:32,2,0,"Huge respect @patcummins30 for your contribution to fight #COVID19 . India will never forget your gesture!
#ThanksPat
#PatCummins","['COVID19', 'ThanksPat', 'PatCummins']",https://twitter.com/twitter/statuses/1386661220346851331
9,1386661004872806402,guwahatiplus,"An English weekly tabloid for an evolved and informed Guwahati. Follow us and stay updated about the gateway to Northeast India.
RT's are not endorsements",Guwahati,124,36182,33116,2021-04-26 12:38:41,13,0,"#UPDATE | Haj Houses in different states of #India to be given to state governments to utilize them as temporary Corona Care Centres, said @naqvimukhtar 

#CovidIndia #COVIDEmergency2021 #COVID19 https://t.co/lEStNk24QZ","['UPDATE', 'India', 'CovidIndia', 'COVIDEmergency2021', 'COVID19']",https://twitter.com/twitter/statuses/1386661004872806402
10,1386658903409053697,pratidintime,"is a 24-hour Assamese news channel, and is a media product of Yash TV Entertainment Pvt. Ltd.","Guwahati, India",218,93379,64012,2021-04-26 12:30:20,8,1,"#NATIONAL | Patna: Man Commits Suicide After Killing Wife Who Tested COVID +ve 
#Patna #COVID19 #CoronaSecondWave #India #SpouseMurder
https://t.co/o5TrCpfxtu","['NATIONAL', 'Patna', 'COVID19', 'CoronaSecondWave', 'India', 'SpouseMurder']",https://twitter.com/twitter/statuses/1386658903409053697
11,1386658821607624704,assamtribuneoff,"Official Twitter account of The Assam Tribune, North-East's leading daily English newspaper.",Guwahati,52,1416,4518,2021-04-26 12:30:00,2,0,"Film on face mask to be screened at int'l event

#TheAssamTribune #Mask #COVID19

https://t.co/Vc30smFsZZ","['TheAssamTribune', 'Mask', 'COVID19']",https://twitter.com/twitter/statuses/1386658821607624704
12,1386658527108689921,TNT_Magazine,TNT - The Northeast Today is the pioneer of northeast India-wide news coverage with over 1 million followers across the web and social media.,"Shillong, India",290,7230,39221,2021-04-26 12:28:50,0,0,"TNT | NATIONAL

#COVID19  fatalities among media fraternity in India on the rise: PEC
DETAILS: https://t.co/NbKgEFZUCl",['COVID19'],https://twitter.com/twitter/statuses/1386658527108689921
13,1386656474173214720,EastMojo,Mobile-first digital news platform | New media storyteller from Northeast India,"Guwahati, India",606,12431,20712,2021-04-26 12:20:40,5,3,"#Manipur: Eight months pregnant Tuithung Wungreichon, 32, was finally given a proper Christian burial in Delhi's Mongolpuri. @NBirenSingh

#COVID19 #COVIDEmergency2021 https://t.co/sca1lOm2cj","['Manipur', 'COVID19', 'COVIDEmergency2021']",https://twitter.com/twitter/statuses/1386656474173214720
14,1386655605025230852,headline8assam,"A Digital Media Network from North-East India. For updated news, please follow us!",Guwahati,60,74,4154,2021-04-26 12:17:13,0,0,"Assam’s First Female IAS Officer Parul Das Succumbs to COVID-19 
#Headline8 #COVID19 #ParulDas

https://t.co/abWxVNo1H2","['Headline8', 'COVID19', 'ParulDas']",https://twitter.com/twitter/statuses/1386655605025230852
