,Tweet_ID,username,description,location,following,followers,totaltweets,Time_created,Likes Count,retweetcount,text,hashtags,Link
0,1386655746683674633,PIB_Patna,"Official Twitter account of *Press Information Bureau*, Patna, Bihar. Nodal agency for communicating to media on behalf of Government of India.","Patna, Bihar, India🇮🇳",148,74847,25235,2021-04-26 12:17:47,3,2,"#FAQs in #COVID19Pandemic

☑️ What should I do if a family member has tested #COVID19 positive❓ 👇

#Unite2FightCorona 
#StaySafe https://t.co/LodMJxEXeE","['FAQs', 'COVID19Pandemic', 'COVID19', 'Unite2FightCorona', 'StaySafe']",https://twitter.com/twitter/statuses/1386655746683674633
1,1386655459340439558,Jhumlaa,Proud Indian💪Beef eating Good Hindu🇮🇳 India First 🇮🇳India is not a place for  for Hindu Atangvadis🇮🇳Parody,"Bhagalpur, India",96,114,12834,2021-04-26 12:16:38,0,0,"🤣🤣🤣😂😂 
""It's time people start wearing masks inside their homes as well"" : Modi Govt on second wave of #COVID19 https://t.co/QkDn0Ria9G",['COVID19'],https://twitter.com/twitter/statuses/1386655459340439558
2,1386649673046233090,Rayyan_741,,"Patna, India",22,3,193,2021-04-26 11:53:39,0,0,"Because that's what heroes do 👏👏👌...

#COVID19
#OxygenCrisis
#CoronaWarriors https://t.co/KDp1MsvQoD","['COVID19', 'OxygenCrisis', 'CoronaWarriors']",https://twitter.com/twitter/statuses/1386649673046233090
3,1386649359765237762,himanshukr_,Traveller | Learner | Hotelier (AIHM) | Musician (Tabla) | Photographer |Video Editor | Digital Marketer from Darbhanga❤,"Bihar, India",120,117,1058,2021-04-26 11:52:24,0,0,"𝗔𝗧𝗧𝗘𝗡𝗧𝗜𝗢𝗡 ❗❗

Lookout for these details before buying Remdesivir from the market. 

#COVIDEmergency2021 #CovidHelp #COVID19 #REMDESIVIR #CovidResources https://t.co/F5CI59T6rg","['COVIDEmergency2021', 'CovidHelp', 'COVID19', 'REMDESIVIR', 'CovidResources']",https://twitter.com/twitter/statuses/1386649359765237762
4,1386648974988251136,ankitagnihotrii,ACTOR & MODEL,"Delhi, India",20,58,151,2021-04-26 11:50:52,2,1,"Additional SDM, @mukul_pankaj  Sir requesting people to follow the COVID guidelines in Biharsharif today.
#covidguidelines #CovidHelp #COVID19 #BiharFightsCorona @NitishKumar @dmnalanda https://t.co/ZY6j792uDK","['covidguidelines', 'CovidHelp', 'COVID19', 'BiharFightsCorona']",https://twitter.com/twitter/statuses/1386648974988251136
5,1386648100408729601,Asad_Ashraf88,"Journalist l Founder @Karvaanindia| Ex: The Statesman |Tehelka |WION |HT l DNA | Bylines: Firstpost, AJEnglish |TRT World I All rants are personal.",India,579,3118,3729,2021-04-26 11:47:24,17,34,"@NitishKumar jee, MR hospital in Sheikhpura is running out of cylinder and patients might find it difficult to breathe in another 1/2 an hour. Hospital says agencies are not providing the cylinder. Please help and save 8 patients life, 8287125537 @BiharHealthDept
#COVID19",['COVID19'],https://twitter.com/twitter/statuses/1386648100408729601
6,1386642873081155584,akhilpathak27,"राष्ट्रहित सर्वोपरि । हिन्दु राष्ट्र ही हमारी पहचान । जय हिंद🇮🇳। 

🙏असैनिक अभियंता किसान🙏 ज्ञानभारती🙏
#RT not my endorsement","बक्सर, पटना, उत्तरप्रदेश",4637,3391,22542,2021-04-26 11:26:38,2,1,"Thanks a lot to Sri @Naveen_Odisha  Sir, who saved thousands of #COVID19 patients across the country. 
So far the #Odisha has dispatched 1268 MT of #Oxygen to other states and not called a single Press conference to take the credit.
Great CM 🙏🙏
#NaveenPatnaik 🙏🙏","['COVID19', 'Odisha', 'Oxygen', 'NaveenPatnaik']",https://twitter.com/twitter/statuses/1386642873081155584
7,1386634262368067586,UdayKr_Bhumihar,"Official Account Of Bhumihar Uday Singh

https://t.co/sneIvrrjsw

https://t.co/ZVIwJ1PrOo","Deoghar, Jharkhand, India",501,349,8058,2021-04-26 10:52:25,0,0,"Indian Railways has stationed almost 4000 Covid care coaches hosting 64,000 beds across the country that will be used by the state governments to treat #COVID19 infected patients.

https://t.co/wFRSzjRa6a",['COVID19'],https://twitter.com/twitter/statuses/1386634262368067586
8,1386634060957511681,UdayKr_Bhumihar,"Official Account Of Bhumihar Uday Singh

https://t.co/sneIvrrjsw

https://t.co/ZVIwJ1PrOo","Deoghar, Jharkhand, India",501,349,8058,2021-04-26 10:51:37,1,0,"From #SundarPichai to #SatyaNadella – Indian-Americans wake up to the #COVID19 crisis at home

#SundarPichai will donate 135 crore to India in the country’s fight against #coronavirus pandemic.

#StayStrongIndia #CovidIndia https://t.co/NfYbSna1AR","['SundarPichai', 'SatyaNadella', 'COVID19', 'SundarPichai', 'coronavirus', 'StayStrongIndia', 'CovidIndia']",https://twitter.com/twitter/statuses/1386634060957511681
9,1386633286953230337,UdayKr_Bhumihar,"Official Account Of Bhumihar Uday Singh

https://t.co/sneIvrrjsw

https://t.co/ZVIwJ1PrOo","Deoghar, Jharkhand, India",501,349,8058,2021-04-26 10:48:32,0,0,"#COVID19 ""EC officials should probably be booked for murder"": Madras High Court blames the Election Commission for Covid surge.",['COVID19'],https://twitter.com/twitter/statuses/1386633286953230337
