,Tweet_ID,username,description,location,following,followers,totaltweets,Time_created,Likes Count,retweetcount,text,hashtags,Link
0,1386629662713946113,atanna18,"Lawyer by profession, Manchester united fanatic, Sunset 😍, Foodie, Sports follower, Coldplay lover , Sagittarius ♐, 🍕 for life.
Instagram: @atanna@18","Mumbai, India",866,559,3505,2021-04-26 10:34:08,1,0,What a kind gesture. #COVID19 https://t.co/3wSmGIjhCa,['COVID19'],https://twitter.com/twitter/statuses/1386629662713946113
1,1386190521941463041,ourvapii,"News|Food|Stories|Promotions
City of Industries🏭 and opportunities💱
We love this city🏙️ as much as you do.","Vapi, India",115,214,383,2021-04-25 05:29:09,2,0,"Happy Mahavir Jayanti.
Stay home stay safe.
#603 #2504 #ourvapii #mahavirjayanti #COVID19 https://t.co/A8kdIyCVO4","['ourvapii', 'mahavirjayanti', 'COVID19']",https://twitter.com/twitter/statuses/1386190521941463041
2,1386162996175462400,savaj1980,सनातन धर्म कायम रहे।,Vapi-gujarat,64,100,7187,2021-04-25 03:39:46,1,1,"#COVID19 | Do not stigmatise coronavirus patients  ❌ 

Instead, celebrate these #coronawarriors 👏🏻

Remember, we have to fight the disease and not the diseased! #समाज_सेवा_समर्पण","['COVID19', 'coronawarriors', 'समाज_सेवा_समर्पण']",https://twitter.com/twitter/statuses/1386162996175462400
3,1385507173707304963,KhushiS25951365,dare to live the life you’ve always wanted..✨,,1588,1334,9190,2021-04-23 08:13:46,11,6,"🌸STAY HOME 

🌸STAY HEALTHY 

🌸BE SAFE 

🌸WEAR MASK 

🌸SAVE LIVES 

🌸KEEP CLEAN AND WASH YOUR            HANDS 

       🙏 STAY SAFE 🙏

#COVID19 
#StayHome 
#CovidIndia","['COVID19', 'StayHome', 'CovidIndia']",https://twitter.com/twitter/statuses/1385507173707304963
4,1385439630812581889,JatinSharma1429,"College Student (Bcom), 
Active Member,
🎹 player, 
Bjp Supporter 🇮🇳,
Believing in Truth 😎","Vapi, India",300,32,261,2021-04-23 03:45:22,1,0,"Deeply saddened by the news of fire at a COVID-19 hospital in Vasai-Virar. Condolences to those who lost their loved ones. Praying for speedy recovery of those injured.
#virar #Fire #Hospital #COVID19 https://t.co/bjXuCkrHu9","['virar', 'Fire', 'Hospital', 'COVID19']",https://twitter.com/twitter/statuses/1385439630812581889
5,1385418151207206918,vedangtandel19,Designer | Engineer | Editor,"Daman, India",49,25,99,2021-04-23 02:20:01,1,1,"Here is a guide on clinical management of #COVID19 patients based on mild, moderate or severe symptoms. https://t.co/aS6ZcCBDLH",['COVID19'],https://twitter.com/twitter/statuses/1385418151207206918
6,1385274558102392835,BhaviniMangela,,VALSAD,3,16,10,2021-04-22 16:49:26,11,1,"Senior Under officer MANGELA BHAVINI of 20 GUJ BN NCC NAVSARI making an appeal to all the eligible citizens of the country to get themselves vaccinated and help to break the chain of corona virus. 
#COVID19 
#NCCYogdan 
#NCCforTika 
#GetVaccinated https://t.co/Wdh2edAMv0","['COVID19', 'NCCYogdan', 'NCCforTika', 'GetVaccinated']",https://twitter.com/twitter/statuses/1385274558102392835
7,1385255197505593344,ourvapii,"News|Food|Stories|Promotions
City of Industries🏭 and opportunities💱
We love this city🏙️ as much as you do.","Vapi, India",115,214,383,2021-04-22 15:32:30,1,0,"#gtu :
In a move to encourage students of 18 years &amp; above to get Covid Vaccine, GTU has made it mandatory to get vaccine to be eligible to file form for Winter-2021 exams.
#600 #2204 #gtu #ourvapii #COVID19 https://t.co/7lobl14Yf2","['gtu', 'gtu', 'ourvapii', 'COVID19']",https://twitter.com/twitter/statuses/1385255197505593344
8,1385066118591647744,mansi_kalgutkar,Bpharm | Spiritual seeker | Support pujya Asharam Bapuji |,,964,1509,75378,2021-04-22 03:01:10,1,1,"Why no relief to innocent Sant Shri Asharamji Bapu in this second wave of #COVID19 which is very fast spreading 
#CoronaRiskInPrisons https://t.co/eSCn5X8G6i","['COVID19', 'CoronaRiskInPrisons']",https://twitter.com/twitter/statuses/1385066118591647744
9,1385061008847228931,mansi_kalgutkar,Bpharm | Spiritual seeker | Support pujya Asharam Bapuji |,,964,1509,75378,2021-04-22 02:40:52,9,7,"No relief for innocent 84 yrs old Sant Shri Asharamji Bapu in first #COVID19 wave,
Release him in this second wave 
#CoronaRiskInPrisons https://t.co/KAfsvxJGgk","['COVID19', 'CoronaRiskInPrisons']",https://twitter.com/twitter/statuses/1385061008847228931
