,Tweet_ID,username,description,location,following,followers,totaltweets,Time_created,Likes Count,retweetcount,text,hashtags,Link
0,1386651914763268108,verma_vibha,Senior Journalist with Goa's oldest and largest circulated daily Herald,"Goa, India",165,306,1640,2021-04-26 12:02:33,4,1,"@visrane suggests lockdown for #Goa like in #Maharashtra and #Karnataka , says people's lives more impo than economic activity. The ball is in the court of @goacm 

Today, Goa has recorded highest ever 38 deaths due to #COVID19 ; details of overall COVID status awaited","['Goa', 'Maharashtra', 'Karnataka', 'COVID19']",https://twitter.com/twitter/statuses/1386651914763268108
1,1386648997222359044,PrimeTVGoa,Prime TV Goa is a TV Channel that pertains to news in English with several infotainment programmes.,"Panaji, India",264,10547,26175,2021-04-26 11:50:58,10,1,"More than economic activities, the lives of the people matter to us. Goa definitely needs to go under lockdown for a particular period just like Maharashtra and Karnataka : Health Min @visrane 

|| #PRIMEGOA #TV_CHANNEL #GOA #PRIMEUPDATE  #Covid19 #GoafightsCovid19 || https://t.co/KyHyFew1Tf","['PRIMEGOA', 'TV_CHANNEL', 'GOA', 'PRIMEUPDATE', 'Covid19', 'GoafightsCovid19']",https://twitter.com/twitter/statuses/1386648997222359044
2,1386643119874002956,_iamclinton_,"#Journalist, #mediaspecialist, #TvPresenter, #Anchor & #writer. tweets personally 📲","Goa, India",66,134,1447,2021-04-26 11:27:37,1,0,"Goa reported Highest ever #COVID19 deaths on Monday. Total 38 covid death's
Breakup: 
9 death's at SGDH 
23 death's at GMC 
2 brought dead to Hospicio 
1 brought dead to Asilo 
2  death's south goa private hospital
1 death north goa private hospital.
#staysafe #goa #covid19","['COVID19', 'staysafe', 'goa', 'covid19']",https://twitter.com/twitter/statuses/1386643119874002956
3,1386641356911640578,_Pitch_Blease_,"Psychologist, Social Worker, #Chelsea Fan since 2002, Socially Active, #IWriteMyOwnClassicPuns😌","Goa, India",795,358,1168,2021-04-26 11:20:36,1,1,"Our Health Minister yesterday said do a test on time. I know of people who have done their tests on time and followed all steps but the results are taking days to come. No guidance on what needs to be done till then. The same should be looked at urgently. 
#Goa #Goacovid #COVID19","['Goa', 'Goacovid', 'COVID19']",https://twitter.com/twitter/statuses/1386641356911640578
4,1386641281284071427,RahulMhambre,"Convener AAP Goa l Ready to build Goa for Goans l Motto, live and let others live too l
Chartered Accountant by profession",Goa,128,2013,1578,2021-04-26 11:20:18,18,7,"We loose another 38 lives today. My thoughts and prayers are with all the families who have lost their loved ones to #COVID19. 
The positivity and mortality rate are out of control. The people of Goa are now paying the price for the lethargy shown by @GovtofGoa.",['COVID19'],https://twitter.com/twitter/statuses/1386641281284071427
5,1386641154683277317,goanewshub,"News Portal of Goans, for Goans,by Goans","Panaji, India",0,6459,25166,2021-04-26 11:19:48,4,0,"Highest ever #COVID19 deaths on Monday. Mortality bulletin of Goa 
26/04/21 
Total covid death's: 
38

09 death's at SGDH 
23 death's at GMC 
02 brought dead to Hospicio 
01 brought dead to Asilo 
02  death's south goa private hospital
01 death north goa private hospital",['COVID19'],https://twitter.com/twitter/statuses/1386641154683277317
6,1386640679107846144,PwrUsr,#PwrUsr | #digitalnomad | #nomad | #minimalism | #OpenSource | #Design | #WebDesign | #WebDev | #UI | #UX | #GNU #Linux | #startup | #Wordpress,Mumbai,195,4334,2551,2021-04-26 11:17:55,0,0,"A brief document on Detection &amp; Management of Coronavirus. #coronavirus 

https://t.co/i4NTKtxtgJ",['coronavirus'],https://twitter.com/twitter/statuses/1386640679107846144
7,1386640125493383168,PrimeTVGoa,Prime TV Goa is a TV Channel that pertains to news in English with several infotainment programmes.,"Panaji, India",264,10547,26175,2021-04-26 11:15:43,2,3,"🚨 #PRIMEBREAKING: Goa Covid 19 Mortality Bulletin - 26/04/2021 - Total 38 deaths reported due to Covid 19

|| #PRIMEGOA #TV_CHANNEL #GOA #PRIMEUPDATE  #Covid19 #GoafightsCovid19 || https://t.co/rngVl9rYo0","['PRIMEBREAKING', 'PRIMEGOA', 'TV_CHANNEL', 'GOA', 'PRIMEUPDATE', 'Covid19', 'GoafightsCovid19']",https://twitter.com/twitter/statuses/1386640125493383168
8,1386637593463296005,CoutinhoMaclean,INDIAN CITIZEN. #AAP. Views Personal.,"Goa, India",357,575,15762,2021-04-26 11:05:39,1,0,"Sheer abuse of power. @goacm  your word holds no power. These are your own chelas having a #Covid wedding.. @BJP4Goa 
#COVID19 
#COVID19India https://t.co/TSTKUkJDse","['Covid', 'COVID19', 'COVID19India']",https://twitter.com/twitter/statuses/1386637593463296005
9,1386637393969647616,DurgaPr17952886,Ds love,Ballari,85,33,142,2021-04-26 11:04:51,1,0,"14 Days complete lockdown in #Karnataka from tomorrow.

#karnatakalockdown #COVID19 #IndiaCovidCrisis","['Karnataka', 'karnatakalockdown', 'COVID19', 'IndiaCovidCrisis']",https://twitter.com/twitter/statuses/1386637393969647616
