,Tweet_ID,username,description,location,following,followers,totaltweets,Time_created,Likes Count,retweetcount,text,hashtags,Link
0,1386657977986273280,ipsinghTOI,"Assistant Editor at The Times of India, Jalandhar. Covers all beats but enjoys writing on politics of Punjab. Views Expressed are personal.",Jalandhar,307,2763,6183,2021-04-26 12:26:39,0,0,"It is first such damning statement by a top functionary of Indian Medical Association @IMAIndiaOrg against @narendramodi govt in handling #Corona2ndWave . @Shayarcasm calls him 'Failed PM' 

#COVID19 
#CovidIndia 
#coronavirus 
#CoronavirusPandemic https://t.co/YVnvEgzusY","['Corona2ndWave', 'COVID19', 'CovidIndia', 'coronavirus', 'CoronavirusPandemic']",https://twitter.com/twitter/statuses/1386657977986273280
1,1386657865801162757,thetribunechd,"Official Twitter handle of The Tribune, North India’s oldest and most trusted newspaper, published from Chandigarh, India. https://t.co/QQ5bS8UQEL",Chandigarh,282,118416,228016,2021-04-26 12:26:12,7,0,"#COVID19: @capt_amarinder against lockdown, says situation expected to get worse in #Punjab https://t.co/dWUHOB3dhd","['COVID19', 'Punjab']",https://twitter.com/twitter/statuses/1386657865801162757
2,1386655287780728838,mightymoosh7,Indian | Hindu | Shaivite l Humanist | Critical of All| Dharma Bound: अश्वत्थामा हतो नरो वा कुञ्जरो वा I,"Himachal Pradesh, India",1371,271,8430,2021-04-26 12:15:58,0,0,"@PMOIndia @BorisJohnson @JPN_PMO @potus please examine the efficacy of AZ, Pfizer and Moderna vaccines against new variants and also efficacy of Covaxin. If ineffective, then please course correct now not when it’s too late! #COVID19",['COVID19'],https://twitter.com/twitter/statuses/1386655287780728838
3,1386654395002068994,Aniketg1997,"These are my opinions. Not necessarily shared by reasonable-minded people nor my benevolent corporate overlords..
...
being INDIAN love every real INDIAN's","Chandigarh, India",32,28,99,2021-04-26 12:12:25,0,1,"No one was and no one is there for you. You have to fight alone as always wether its flood , food crisis , earthquake or #COVID19.
Government which hangs here are already looting and menuplating its inocent public
#Savebihar @BaatBiharKii","['COVID19', 'Savebihar']",https://twitter.com/twitter/statuses/1386654395002068994
4,1386654394599440384,AVTARSINGHTURKA,I Love My Country & PPL Very Much.I Just Want That No One In India  Sleep's Hungry & We All Indians Try To Make Our Nation As Shaheed Bhagat Singh Imagines.,AMBALA (INDIA),61,49,1866,2021-04-26 12:12:25,0,1,"@ndtv #AndhBhakts will not ask now from where donations are coming to #Gurudwara for providing oxygen.
#COVID19 #FarmersProtest #IndiaFights4FarmerRights","['AndhBhakts', 'Gurudwara', 'COVID19', 'FarmersProtest', 'IndiaFights4FarmerRights']",https://twitter.com/twitter/statuses/1386654394599440384
5,1386651790490312708,virdiparaminder,My ideas connect people and my heart connects my soul. #Photographer #DigitalMarketer #graphicdesigner and an #Animator.,Chandigarh,219,58,521,2021-04-26 12:02:04,3,0,"On my @Behance profile I designed and published Latest A5 Flyer made for a fitness company. Concept designed on keeping in mind the #COVID19 situation . Apprieciate if you like my work and do comment 
#graphicdesign #printmaking #printing #artvsartist2021 
https://t.co/DTwAmHUvxE","['COVID19', 'graphicdesign', 'printmaking', 'printing', 'artvsartist2021']",https://twitter.com/twitter/statuses/1386651790490312708
6,1386651730209804291,sandhulandlord1,ਜਿਥੈ ਬੋਲਣਿ ਹਾਰੀਐ ਤਿਥੈ ਚੰਗੀ ਚੁਪ ॥ Man on Mission ॥ BKU Rajewal ॥ Silence ॥ Punjab Police ॥ Farmers Protest ॥ Mera Wasda rahe Punjab ॥,"Chandigarh, India",199,219,5720,2021-04-26 12:01:49,0,0,"Healthcare system has collapsed in India.

People are dying due to shortage of oxygen.

@UNHumanRights @hrw @amnesty 

#COVID19 
#ModiGovtSeNaHoPayega","['COVID19', 'ModiGovtSeNaHoPayega']",https://twitter.com/twitter/statuses/1386651730209804291
7,1386651317075025925,AVTARSINGHTURKA,I Love My Country & PPL Very Much.I Just Want That No One In India  Sleep's Hungry & We All Indians Try To Make Our Nation As Shaheed Bhagat Singh Imagines.,AMBALA (INDIA),61,49,1866,2021-04-26 12:00:11,0,0,"@PMOIndia @narendramodi You cause great harm when you lie to others, but it’s most harmful of all to lie to yourself.
#common_citizen_of_India #COVID19 #FarmersProtest","['common_citizen_of_India', 'COVID19', 'FarmersProtest']",https://twitter.com/twitter/statuses/1386651317075025925
8,1386650649190862851,ChandigarhOrtho,"Family & Cosmetic Dentistry providing wide range of services – Braces for Adults & Children, Root Canal Treatment,teeth extraction, Dental Implants, Invisalign.","Chandigarh, India",14,67,656,2021-04-26 11:57:32,0,0,"Artificial Intelligence in Dentistry is here to stay and rule. https://t.co/9Y8AF9GPSQ

#ArtificialIntelligence #AI #dental #dentalcare #dentistry #AIDentistry #technology #pandemic #COVID19 #COVID19 #coronavirus #CoronavirusPandemic #treatment #dentaltreatment #dentalhygiene","['ArtificialIntelligence', 'AI', 'dental', 'dentalcare', 'dentistry', 'AIDentistry', 'technology', 'pandemic', 'COVID19', 'COVID19', 'coronavirus', 'CoronavirusPandemic', 'treatment', 'dentaltreatment', 'dentalhygiene']",https://twitter.com/twitter/statuses/1386650649190862851
9,1386650102790451206,arunsoodbjp,"State President, BJP Chandigarh.","Chandigarh, India",625,4974,2902,2021-04-26 11:55:21,1,1,"Phase 3 of the world’s #LargestVaccinationDrive will get wider from May 1. 

Registrations for 18+ citizens begins April 28 for vaccination against #COVID19 at https://t.co/ZhgRjFzBu8

#Unite2FightCorona https://t.co/EJ2krB4LYm","['LargestVaccinationDrive', 'COVID19', 'Unite2FightCorona']",https://twitter.com/twitter/statuses/1386650102790451206
10,1386650089293172743,TrueScoopNews,"#TrueScoopNews covers #LatestNews, #breakingNews,  #ViralNews, #BreakingNews,  #politicalnews across the World.","Jalandhar, India",330,141,5408,2021-04-26 11:55:18,0,0,"Army's Western Command to help Punjab fight Covid

https://t.co/iOj8eRZHYn

#Punjab #India #Army #ArmyWesternCommand #Oxygen #OxygenShortage #Corona #Covid #Covid19 #Pandemic https://t.co/Z32qXTpZg6","['Punjab', 'India', 'Army', 'ArmyWesternCommand', 'Oxygen', 'OxygenShortage', 'Corona', 'Covid', 'Covid19', 'Pandemic']",https://twitter.com/twitter/statuses/1386650089293172743
