,Tweet_ID,username,description,location,following,followers,totaltweets,Time_created,Likes Count,retweetcount,text,hashtags,Link
0,1386658451162501122,PunjabGovtIndia,"Official @Twitter handle of the Government of the State of Punjab, India. Also join us at: https://t.co/IUiGUagH3V","Chandigarh, Punjab, India",73,185987,15595,2021-04-26 12:28:32,8,2,Education Minister @VijayIndrSingla has cancelled NOC given to a school in Fazilka district for violating govt instructions during the #COVID19 pandemic. He had floated his personal email vijayindersingla@gmail.com to receive such complaints against wrongdoings of private school.,['COVID19'],https://twitter.com/twitter/statuses/1386658451162501122
1,1386655146965274625,PunjabGovtIndia,"Official @Twitter handle of the Government of the State of Punjab, India. Also join us at: https://t.co/IUiGUagH3V","Chandigarh, Punjab, India",73,185987,15595,2021-04-26 12:15:24,17,3,"In a bid to effectively combat the #COVID19 emergency situation across the state, the #PunjabCabinet led by Chief Minister @capt_amarinder Singh gave approval to the recruitment of 473 posts of staff nurses in Rajindra Hospital, Patiala, and Guru Nanak Dev Hospital, Amritsar.","['COVID19', 'PunjabCabinet']",https://twitter.com/twitter/statuses/1386655146965274625
2,1386654958523600898,CMOPb,Office of the Chief Minister of Punjab,"Punjab, India",5,199344,3837,2021-04-26 12:14:39,18,2,"In a bid to effectively combat the #COVID19 emergency situation across the state, the #PunjabCabinet led by Chief Minister @capt_amarinder Singh gave approval to the recruitment of 473 posts of staff nurses in Rajindra Hospital, Patiala, and Guru Nanak Dev Hospital, Amritsar","['COVID19', 'PunjabCabinet']",https://twitter.com/twitter/statuses/1386654958523600898
3,1386648517645582340,Pakistancer,"Twitter handle of | Fayaz Hussain | a | Proud Pakistani |
Freelancer | Blogger | Youtuber | Agronomist	|
Founder of Freelancing Network & https://t.co/F2qa04GbhN","Okara, Pakistan",1249,65,350,2021-04-26 11:49:03,1,0,"Ultra protection level to avoid #CoronavirusPandemic #coronavirus #COVID19 #COVIDEmergency2021 #PakistaniLivesMatter #indianeedoxygen #Kashmir
@DennisCricket_ https://t.co/YZK7XBixJw","['CoronavirusPandemic', 'coronavirus', 'COVID19', 'COVIDEmergency2021', 'PakistaniLivesMatter', 'indianeedoxygen', 'Kashmir']",https://twitter.com/twitter/statuses/1386648517645582340
4,1386642958124945409,gurpreetscheema,"Independent,Evaluate everything & Don’t Trust Media Blindly","Punjab, India",344,189,10549,2021-04-26 11:26:58,0,0,Central Govt won’t import vaccines. When will this megalomaniac Modi &amp; his cabinet get down from there AtamNirbhar Bharat &amp; Vishwaguru chariot. Just when ? Till federal govt got involved and controlled things in USA it was a disaster. Do we not learn any lessons ? #COVID19,['COVID19'],https://twitter.com/twitter/statuses/1386642958124945409
5,1386641299617443844,Prince__Singh15,"ਕਾਮਯਾਬ ਇਨਸਾਨ ਖੁਸ਼ ਰਹੇ ਨਾ ਰਹੇ, ਪਰ ਖੁਸ਼ ਰਹਿਣ ਵਾਲਾ ਇਨਸਾਨ ਕਾਮਯਾਬ ਜ਼ਰੂਰ ਹੁੰਦਾ ਹੈ।  😇✨❤️","Punjab, India",493,238,6177,2021-04-26 11:20:23,0,0,"Pat Cummins it's a beautiful gesture from your side ❤️❤️ But plzzzz donate your money somewhere else not PM Cares Fund bcoz it's an unaudited personal fund of BJP which will be  used by them only for their bullshit election rallies not for society 🙁🙁
#IPL2021
#COVID19 https://t.co/VjeprTHPsT","['IPL2021', 'COVID19']",https://twitter.com/twitter/statuses/1386641299617443844
6,1386640134641094661,DPRO_Barnala,,"Barnala, India",221,774,1729,2021-04-26 11:15:45,2,0,What r arrangements for #OxygenCylinder for #coronavirus patients explains CS @Barnala Dr Harjinderjit @PunjabGovtIndia @CsPunjab @NeelkamalTOI @GautamRishi1 @raakhijagga @BalbirSinghMLA https://t.co/E3zIfVmG2t,"['OxygenCylinder', 'coronavirus']",https://twitter.com/twitter/statuses/1386640134641094661
7,1386633749241028608,DietitianGarima,#Dietitian  Proud #NaMoBhagat,"Bharat Nagar, Ludhiana",1080,258,698,2021-04-26 10:50:22,0,0,"“MY MASK IS FOR YOU
YOUR MASK IS FOR ME”

Keep our communitysafe, wear your mask😷, stay safe and stay at home🏠
💌 DM us to know more.
#corona #mask #wearmask #coronavirus #wearmaskcorona #steampunkdecor #steamulation #dietitiangarima #creatinghealthylives #garimagoyal https://t.co/SuuY2ZMegW","['corona', 'mask', 'wearmask', 'coronavirus', 'wearmaskcorona', 'steampunkdecor', 'steamulation', 'dietitiangarima', 'creatinghealthylives', 'garimagoyal']",https://twitter.com/twitter/statuses/1386633749241028608
8,1386632944408621056,Im_sarcasticguy,"paisa💸nasha🍻pyaar❤️

                                    👻Snapchat- sammysk1146","Punjab, ludhiana",25,39,265,2021-04-26 10:47:10,2,0,"BEDS AVAILABILITY IN KGMU, Lucknow AT 3 PM

*KGMU BED AVAILABILITY* 26/04/2021 at 3:00 PM

Available Beds/Total Beds

1) ICU BEDS 28/345 2) Isolation BEDS 45/420 3) HDU BEDS 00/00
Total Available 73/765
#LucknowCoronavirus 
@flyingbeast320 @Beatking_Sumedh @SonuSood #COVID19","['LucknowCoronavirus', 'COVID19']",https://twitter.com/twitter/statuses/1386632944408621056
9,1386632492946399232,Gautam06256629,"Content Creator 🙃Roaster 🔥 Troller 😆
Viral Aunty ,Delhi Couple fight Roast video 👇","sirsa, India",359,1568,9561,2021-04-26 10:45:23,24,18,"If u believe in prey 🙏 then 
Prey for me and family not covid positive but facing something other 🙌
God bless you all 🙏❤ 

#RubinaDilaik #AbhinavShukla 
#COVID19 #COVIDIOTS","['RubinaDilaik', 'AbhinavShukla', 'COVID19', 'COVIDIOTS']",https://twitter.com/twitter/statuses/1386632492946399232
