,Tweet_ID,username,description,location,following,followers,totaltweets,Time_created,Likes Count,retweetcount,text,hashtags,Link
0,1386661737332572165,greater_jammu,,"Jammu, Jammu And Kashmir",58,1620,7309,2021-04-26 12:41:35,0,0,Minority Affairs Ministry decides to give Haj Houses to respective state governments for utilisation as temporary care centres for #COVID19 patients,['COVID19'],https://twitter.com/twitter/statuses/1386661737332572165
1,1386660790741004291,meetraina_13,"ਏਹਿ ਭਿ ਦਾਤਿ ਤੇਰੀ ਦਾਤਾਰ❤
Proud to be a Sikh👳‍♀️...
Political Secularism,Fashion,Turbanator,Model,lifestyle...💗
#istandwithfarmers
No Farmers🚜
No Food🌾",Jammu,38,158,626,2021-04-26 12:37:50,1,0,"""Determination to win""..✊🏼✊🏼
@narendramodi Take as much will as we can from where we won...A farmer, a soldier, both never give up..!!
We are not afraid of coronavirus..
#FailedPMModi
#coronavirus 
#FarmersProtest https://t.co/vezejspySL","['FailedPMModi', 'coronavirus', 'FarmersProtest']",https://twitter.com/twitter/statuses/1386660790741004291
2,1386659724989407233,AmanBanwait20,,Nawanshahr,99,74,337,2021-04-26 12:33:35,1,0,"India is burning into ashes!!!
Be safe and always be close to your dear ones!!
Call your loved ones, text them! Do anything to make them feel special and to strengthen your bonds!!
Leave hatred.. the life will pass in just blink of an eye!!
#COVID19 https://t.co/TXGFaHERds",['COVID19'],https://twitter.com/twitter/statuses/1386659724989407233
3,1386658608620838914,RenuBala20111,"छोटा शहर बड़े सपने "" इन् पंखों को बस बेसब्री से इंतज़ार हर उस जगह पोंछू जहा है मेरी ज़रूत ,  बेईमानी के लिए जीरो टॉलरेंस  (Zero tolerance to foul )language","Jammu, Jammu And Kashmir",65,205,1644,2021-04-26 12:29:09,0,0,"#JUSTIN || #Telangana government promotes all class 1-9 students studying in government, aided and private unaided schools to the next class without any examinations to prevent the spread of #COVID19 cases. Orders issued Down pointing backhand index 
@TOITelangana https://t.co/dRUe2ek8FB","['JUSTIN', 'Telangana', 'COVID19']",https://twitter.com/twitter/statuses/1386658608620838914
4,1386656389724995584,JKCriminologist,My Nation (India) is My Pride. Purely Nationalist. Journalist by Profession & working in Union Territory of J&K. Defence Enthusiast. Tweets R Personal,"Jammu, Jammu And Kashmir",1492,758,6413,2021-04-26 12:20:20,0,0,"J&amp;K Update

Filing/Hearing of Cases in J&amp;K High Court, District, Subordinate Courts, and Tribunals to be Online till 15th May 2021 amid rising #COVID19 cases",['COVID19'],https://twitter.com/twitter/statuses/1386656389724995584
5,1386655697488601090,Touseef_Dar,"Where the mind is without fear & the head held high, into that Kingdom of freedom Almighty Allah let my country awake",Jammu & Kashmir,986,79,3508,2021-04-26 12:17:35,1,0,@ShujaUH @pzfahad I think Doctors in india n #Kashmir don't know what to prescribe for #Covid19. This drug has been found least effective against #Covid19 and is not being administered in leading hospitals of the world.,"['Kashmir', 'Covid19', 'Covid19']",https://twitter.com/twitter/statuses/1386655697488601090
6,1386655288183320578,Kashmirnews22,"Get all the latest news updates including political,current affairs and many more on Kashmir News.

Facebook= https://t.co/XV8i4BT0bc","Anantnag, Jammu And Kashmir",2,6779,15736,2021-04-26 12:15:58,0,0,"#India: In this COVID19 situation, please don't go out unnecessarily, and even within the family wear a mask. It is very important to wear a mask. Do not invite people into your home: Dr. VK Paul, Member-Health, Niti Aayog 

#KashmirNews #WearMask #StaySafe #Coronavirus","['India', 'KashmirNews', 'WearMask', 'StaySafe', 'Coronavirus']",https://twitter.com/twitter/statuses/1386655288183320578
7,1386653541746438153,rakeshcare1127,"A JK Guy..... 


Long live Glory of Indian Army 🇮🇳... ❤


Jai Mata Di
Waheguru ji 
🙏🙏",Jammu & Kashmir,816,51,597,2021-04-26 12:09:01,2,0,"@deepsealioness @patcummins30 Lol..... You are a perfect example of Internal Enemies of India

#CovidIndia 
#COVID19","['CovidIndia', 'COVID19']",https://twitter.com/twitter/statuses/1386653541746438153
8,1386647227771232262,SaahilSuhail,Journalist | Peace Activist |Environmentalist |Reports from South #Kashmir | Works at @earlytimesjk | Contributing to @TimesNow & @MirrorNow @KashmirRadio,"Srinagar, India",840,3609,11259,2021-04-26 11:43:56,8,2,"Member District Development Council #Anantnag, @NisarAhmadMir_ on Monday said that each Panchayat in Dachnipora will procure at least 4 #OxygenCylinders to fight #COVID19. The procured cylinders will be handed over to Block Medical Officers for judicious use. https://t.co/934ygG9FvQ","['Anantnag', 'OxygenCylinders', 'COVID19']",https://twitter.com/twitter/statuses/1386647227771232262
9,1386643105479204865,tkwmag,"The Kashmir Walla is a magazine of politics, culture, and society. Support us here: https://t.co/NYnjwo2WZW",Srinagar,15,39317,15987,2021-04-26 11:27:33,18,6,"With cases piling up at a record pace, is #Kashmir’s descent into another #COVID19 crisis inevitable?

Reports @YashJournals
https://t.co/G4STCuq3ov","['Kashmir', 'COVID19']",https://twitter.com/twitter/statuses/1386643105479204865
