,Tweet_ID,username,description,location,following,followers,totaltweets,Time_created,Likes Count,retweetcount,text,hashtags,Link
0,1386653341829246978,Forumkeralam2,Box Office Reports | Exclusive Reviews | Fans Arena | Movie Discussion | Multiplex Trackers | Official Twitter Handle | Visit & SignUp : https://t.co/doV9wvnOWd,"Kerala, India",114,4628,926,2021-04-26 12:08:14,25,4,"Kerala Today

21,890 Positive cases

TPR at 22.7%

#Kerala #Covid19","['Kerala', 'Covid19']",https://twitter.com/twitter/statuses/1386653341829246978
1,1386650636230565893,Th_vigilante,"-𝗪𝗲'𝗿𝗲 𝘁𝗵𝗲 𝘃𝗶𝗴𝗶𝗹𝗮𝗻𝘁𝗲𝘀-
          
           Oʙsᴇʀᴠᴀɴᴛ","Kerala, India",8,0,3,2021-04-26 11:57:29,0,0,"India’s surge in COVID-19  infections, growing at the fastest pace in the world, has left families and patients pleading for oxygen outside hospitals.
#COVID19 
#COVIDSecondWaveInIndia 
#ModiMadeDisaster https://t.co/7tgec4uQm8","['COVID19', 'COVIDSecondWaveInIndia', 'ModiMadeDisaster']",https://twitter.com/twitter/statuses/1386650636230565893
2,1386641066145816576,No_AmNottttt,"Bad_Boy @28, 
Maaya...Maayaa....Pori Maayaare....
Don't follow me ...
Scorpio",Lakshadweep,12,9,3169,2021-04-26 11:19:27,0,0,"Jet speed lo vachesna sir 😁😁
#coronavirus https://t.co/QTqlMijdD9",['coronavirus'],https://twitter.com/twitter/statuses/1386641066145816576
3,1386609854354137090,SSTweeps,Box Office Numbers. Reviews. Latest Movie Updates. Movie Forum From Kerala.,"Kerala, India",291,87975,10821,2021-04-26 09:15:25,25,6,"Get Information about availability of beds, ventilators in this hospital dashboard https://t.co/cpJ7CRO52b

#CovidKerala #Kerala #Covid19","['CovidKerala', 'Kerala', 'Covid19']",https://twitter.com/twitter/statuses/1386609854354137090
4,1386602477210923009,Forumkeralam2,Box Office Reports | Exclusive Reviews | Fans Arena | Movie Discussion | Multiplex Trackers | Official Twitter Handle | Visit & SignUp : https://t.co/doV9wvnOWd,"Kerala, India",114,4628,926,2021-04-26 08:46:07,79,7,"All Party Meeting decides to enforce restrictions during May 2 when the election results will be allowed. Victory Marches and celebrations will be strictly restricted.

#Kerala #Covid19","['Kerala', 'Covid19']",https://twitter.com/twitter/statuses/1386602477210923009
5,1386601359638552582,Forumkeralam2,Box Office Reports | Exclusive Reviews | Fans Arena | Movie Discussion | Multiplex Trackers | Official Twitter Handle | Visit & SignUp : https://t.co/doV9wvnOWd,"Kerala, India",114,4628,926,2021-04-26 08:41:40,68,6,"Other decisios

*Night Curfew to continue
*Weekends restrictions to continue
*More restrictions will be imposed on places with high TPR
*Shop Timings will be till 7:30PM

#Kerala #Covid19","['Kerala', 'Covid19']",https://twitter.com/twitter/statuses/1386601359638552582
6,1386600899326316549,Forumkeralam2,Box Office Reports | Exclusive Reviews | Fans Arena | Movie Discussion | Multiplex Trackers | Official Twitter Handle | Visit & SignUp : https://t.co/doV9wvnOWd,"Kerala, India",114,4628,926,2021-04-26 08:39:50,105,14,"Just In : All Party Meeting decides not to impose lockdown in the state

#Kerala #Covid19","['Kerala', 'Covid19']",https://twitter.com/twitter/statuses/1386600899326316549
7,1386600085094486017,vijith_N999,Film Director | Music Director I Producer | Engineering Professional,"Kerala, India",265,2203,750,2021-04-26 08:36:36,0,0,All major #Eid releases #malik #MarakkarLionoftheArabianSea #Kurup will postpone for sure. Expect biggies only for #Onam if #COVID19 situation permits.,"['Eid', 'malik', 'MarakkarLionoftheArabianSea', 'Kurup', 'Onam', 'COVID19']",https://twitter.com/twitter/statuses/1386600085094486017
8,1386599891124715521,SSTweeps,Box Office Numbers. Reviews. Latest Movie Updates. Movie Forum From Kerala.,"Kerala, India",291,87975,10821,2021-04-26 08:35:50,63,9,"Complete lockdown suggestion by covid committee was not passed in all party meeting. More restrictions will be imposed but there won't be a complete lockdown in the state.

#Kerala #COVID19 https://t.co/b5OockAEFy","['Kerala', 'COVID19']",https://twitter.com/twitter/statuses/1386599891124715521
9,1386593340565516290,SSTweeps,Box Office Numbers. Reviews. Latest Movie Updates. Movie Forum From Kerala.,"Kerala, India",291,87975,10821,2021-04-26 08:09:48,236,34,"2 week complete lockdown may be imposed in Kerala. Final decision soon.

#COVID19",['COVID19'],https://twitter.com/twitter/statuses/1386593340565516290
10,1386589398012157953,Maneesh1098,professional social worker | child rights activist | C4D consultant of @unicefindia for  Kerala I views are personal,"Kerala, India",1105,381,28572,2021-04-26 07:54:08,0,0,"#SMS മറക്കരുത്..
Dont forget #sms in the fight against #covid19.

#BreakTheChain #crushthecurve https://t.co/X1dVP3ELYV","['SMS', 'sms', 'covid19', 'BreakTheChain', 'crushthecurve']",https://twitter.com/twitter/statuses/1386589398012157953
11,1386588432722366464,Itz_MahiVFC,"KERALA PAYYAN

BORN TO BE A VIJAY FAN😎","Kerala, India",4476,3502,59459,2021-04-26 07:50:18,11,10,"Breaking : Covid Committee has proposed a full 2 week lockdown in the state amidst the spike in cases. Final decision post the All Party Meeting that has just begun.

#Kerala #Covid19
#Master @actorvijay #Thalapathy65","['Kerala', 'Covid19', 'Master', 'Thalapathy65']",https://twitter.com/twitter/statuses/1386588432722366464
12,1386585672400596992,aaiclcairport,This is the official twitter handle of Calicut International Airport.,"Kozhikode, Kerala state, India",198,3336,842,2021-04-26 07:39:20,1,1,"Flight Movements ✈️
25th April
Domestic Arrival: 04
Domestic Departure:07
International Arrival: 10
International Departure: 05
26th April 
Domestic Arrival: 05
Domestic Departure:07
International Arrival: 10
International Departure: 10
@AAI_Official @DGCAIndia @MoCA_GoI #COVID19 https://t.co/9tYmdx4xsv",['COVID19'],https://twitter.com/twitter/statuses/1386585672400596992
13,1386583230195724289,JoyIttan,interested in management related things. Lover of nature and people. A family man.,Ernakulam Kerala India,33,0,118,2021-04-26 07:29:38,0,0,To whoever responsible in the Central gov. Please don't fish in troubled waters in this vaccine business.Please save innocent lives.#COVID19 #FreeVaccineForIndia #PMOIndia,"['COVID19', 'FreeVaccineForIndia', 'PMOIndia']",https://twitter.com/twitter/statuses/1386583230195724289
14,1386572605172248582,Forumkeralam2,Box Office Reports | Exclusive Reviews | Fans Arena | Movie Discussion | Multiplex Trackers | Official Twitter Handle | Visit & SignUp : https://t.co/doV9wvnOWd,"Kerala, India",114,4628,926,2021-04-26 06:47:25,258,31,"Breaking : Covid Committee has proposed a full 2 week lockdown in the state amidst the spike in cases. Final decision post the All Party Meeting that has just begun.

#Kerala #Covid19","['Kerala', 'Covid19']",https://twitter.com/twitter/statuses/1386572605172248582
15,1386554702473490432,RijoMJohn,"Health Economist | Adj. Professor, https://t.co/3rpFbfEKfR | Guest faculty @IIMKozhikode | Consultant @WHO @TobaccoFreeKids @Tobacconomics | Former faculty @IITJ_Official","Kerala, India",1006,5361,4183,2021-04-26 05:36:16,18,7,@jasjiv The undercounting of #COVID19 deaths will inevitably manifest itself in some way or the other how much ever the authorities try to hide it from the public eye!,['COVID19'],https://twitter.com/twitter/statuses/1386554702473490432
16,1386548745462976514,propgt14,"Helpline Nos.139(for all enquiries except security)
182(Security) 

 Twitter handles:@propgt14,  @RailwaySeva. Post your  mobile no. for immediate assistance.",Palakkad,148,9704,19773,2021-04-26 05:12:36,1,1,"#MaskUpIndia #COVID19 #Unite2FightCorona 

Please wear a mask and be safe from Covid-19 https://t.co/I1nZEeNhaB","['MaskUpIndia', 'COVID19', 'Unite2FightCorona']",https://twitter.com/twitter/statuses/1386548745462976514
17,1386544594586804226,veni_ramachndrn,ChemicalEngineer| Marxist| Feminist| Cinephile.,"kerala, India",361,7052,13551,2021-04-26 04:56:06,10,0,How about you chill for Kerala and worry about the rest of the country. Kerala has been a role model in effectively tackling #COVID19 ever and lately it's been supplying surplus oxygen to help other states. https://t.co/bay23ZmCN7,['COVID19'],https://twitter.com/twitter/statuses/1386544594586804226
18,1386543174986784769,Maneesh1098,professional social worker | child rights activist | C4D consultant of @unicefindia for  Kerala I views are personal,"Kerala, India",1105,381,28572,2021-04-26 04:50:28,0,0,"To be a part of the support system 
അണിചേരൂ.... 
#COVIDBRIGADE 
കരുതലിൻ്റെ കരുത്ത്
To register : 
https://t.co/0lxWIfy5Mr

#COVID19 #BreakTheChain 
@RJVishnu @PIBTvpm @radiomattoli @TVC138 @magicplanet_tvm @vinuvjohn @DefencePROTvm @SAryaRajendran @manoramanews @AsianetNewsML https://t.co/HhSAP5RSH6","['COVIDBRIGADE', 'COVID19', 'BreakTheChain']",https://twitter.com/twitter/statuses/1386543174986784769
19,1386536636486389762,AnoopChandranVK,,"Cochin, India",197,16,34,2021-04-26 04:24:29,0,0,"#AnboduKochi #largestblooddonationdrive #doforkerala #Unite2FightCorona #donatebloodsavelives
#BloodDonors #Covid19 #ima @ I.M.A. Voluntary Donor Blood Bank, Kochi https://t.co/RtQxbm1pRm","['AnboduKochi', 'largestblooddonationdrive', 'doforkerala', 'Unite2FightCorona', 'donatebloodsavelives', 'BloodDonors', 'Covid19', 'ima']",https://twitter.com/twitter/statuses/1386536636486389762
20,1386526667040956416,RijoMJohn,"Health Economist | Adj. Professor, https://t.co/3rpFbfEKfR | Guest faculty @IIMKozhikode | Consultant @WHO @TobaccoFreeKids @Tobacconomics | Former faculty @IITJ_Official","Kerala, India",1006,5361,4183,2021-04-26 03:44:52,54,23,"25 April #COVID19 snapshot: 
👉354653 new cases, 2808 deaths &amp; 14L tests y'day. 
👉7-day average TPR: 19.8%
👉28L active cases &amp; growing at 5.5%
👉Total: 17.3M cases, 195118 deaths
👉14.19 crore vaccination doses given (1M y'day) https://t.co/I7AW6kOcY7",['COVID19'],https://twitter.com/twitter/statuses/1386526667040956416
21,1386524557012398080,Charakan,"A humanist, feminist & an atheist, also a medical dr from India. I blog at freethought blogs. Beware if u have fragile sentiments.","Kerala,India",3309,2834,56268,2021-04-26 03:36:29,7,2,It’s a shame that latest Kerala #Covid19 management protocol still contains medicines like Favipiravir and Ivermectin which has no scientific basis @PriyankaPulla @CMOKerala https://t.co/mAckY0XC7G,['Covid19'],https://twitter.com/twitter/statuses/1386524557012398080
22,1386496020218105864,JithuShajiVar4,"Pursuing https://t.co/05ObmaIK4t. Psychology. I'm Twitterati. Stands for truth. IMUN 34.0 session: Delegate of Cuba 
https://t.co/pOyi9SF6RL","Kerala, India",1650,885,3574,2021-04-26 01:43:05,2,2,We thank the @UAEmGov for the solidarity shown to #Indian in this unprecedented situation. #UAE #Oscars2021 #level5 #생일축하받을_최찬희구함 #رؤيه_2030_واقع_يتحقق #bootwtselfieday #RHOAReunion #يوم_المثليات_العالمي #ranboofanart #Oscar2021 #COVID19 #health #TigrayGenocide https://t.co/BL8QczdIUP,"['Indian', 'UAE', 'Oscars2021', 'level5', '생일축하받을_최찬희구함', 'رؤيه_2030_واقع_يتحقق', 'bootwtselfieday', 'RHOAReunion', 'يوم_المثليات_العالمي', 'ranboofanart', 'Oscar2021', 'COVID19', 'health', 'TigrayGenocide']",https://twitter.com/twitter/statuses/1386496020218105864
23,1386494882924040193,JithuShajiVar4,"Pursuing https://t.co/05ObmaIK4t. Psychology. I'm Twitterati. Stands for truth. IMUN 34.0 session: Delegate of Cuba 
https://t.co/pOyi9SF6RL","Kerala, India",1650,885,3574,2021-04-26 01:38:34,1,0,"We thank the #America and #Americans for their solidarity to stand with #Indians in this unprecedented situation. "" A friend in need is a friend in deed "" #COVID19 #IndiaFightsCOVID19
#USA #Biden https://t.co/St7F1DfjFB","['America', 'Americans', 'Indians', 'COVID19', 'IndiaFightsCOVID19', 'USA', 'Biden']",https://twitter.com/twitter/statuses/1386494882924040193
24,1386399781161820160,sreekanthgs,"CTO @hatio_in. Believes in humans. Strong follower of Leftist Ideologies. Opinions, views & comments are personal. Say NO to BJP, Say YES to Secular India.",Ernakulam,526,323,2310,2021-04-25 19:20:40,1,0,"Do you believe #Kerala has done an outstanding job in handling the #COVID19 crisis? This isn't about the Government or the Politics, but the state and it's people as a whole.","['Kerala', 'COVID19']",https://twitter.com/twitter/statuses/1386399781161820160
25,1386386787463962629,Javad04789318,HSE professional,"Kerala, India",100,1,8,2021-04-25 18:29:02,0,0,Shame off them #coronavirus #ModiMadeDisaster #OxygenCrisis #IndiaFightsCorona https://t.co/KFlxI7uXtG,"['coronavirus', 'ModiMadeDisaster', 'OxygenCrisis', 'IndiaFightsCorona']",https://twitter.com/twitter/statuses/1386386787463962629
