,Tweet_ID,username,description,location,following,followers,totaltweets,Time_created,Likes Count,retweetcount,text,hashtags,Link
0,1386648458744844290,JabalpurViews,"🅹🅰🅱🅰🅻🅿🆄🆁 🆅🅸🅴🆆🆂
🇮🇳 Jabalpur ka page🇮🇳
Also Show our India Tourism Photography Culture
#best #Experiences
FOOD|TRAVEL|LIFESTYLE|PHOTOGRAPHY
I",,74,6,24,2021-04-26 11:48:49,1,0,"Railway authorities deploy isolation coaches for Covid-19 patients, in Bhopal, Sunday, April 25, 2021

Photo courtesy: @ptiphotos

#coronavirus #covid19  #indianrailways  #jabalpurviews #railways #coronatime #coronavid19 #indiafightscorona #indiafightscoronavirus https://t.co/SY5vo9ZL83","['coronavirus', 'covid19', 'indianrailways', 'jabalpurviews', 'railways', 'coronatime', 'coronavid19', 'indiafightscorona', 'indiafightscoronavirus']",https://twitter.com/twitter/statuses/1386648458744844290
1,1386645761354461187,HamzaSh74200299,NOT AN ANTI-NATIONAL,"Raisen, India",122,63,347,2021-04-26 11:38:06,2,1,"And our media still not showing the true image of modi  
..
..
..
..
#ModiHaiTohMumkinHai 
#ModiMadeDisaster 
#ModiGovtSeNaHoPayega 
#COVID19 #SaudiArabia #TheAustralian 
#NoVoteTo_EvilModi https://t.co/XKCzYLInIL","['ModiHaiTohMumkinHai', 'ModiMadeDisaster', 'ModiGovtSeNaHoPayega', 'COVID19', 'SaudiArabia', 'TheAustralian', 'NoVoteTo_EvilModi']",https://twitter.com/twitter/statuses/1386645761354461187
2,1386636063771222021,rjpihu,RJ|Bhopal|Only Good vibes,BHOPAL,544,2173,2310,2021-04-26 10:59:34,3,1,"Thankyou so much  @DevendraPSTomar for helping a Covid Affected patient that I got to know about on Social Media .
They have been admitted to hospital in Gwalior successfully . We need more people like you .
#CovidHelp #COVIDEmergency2021 
#COVID19India #COVID19 https://t.co/CDU9tGoDj3","['CovidHelp', 'COVIDEmergency2021', 'COVID19India', 'COVID19']",https://twitter.com/twitter/statuses/1386636063771222021
3,1386632274175741955,Amiti14,"General Secretary, Madhya Pradesh Youth Congress | Columnist | Democracy and an inclusive world order | Instagram: amitipande | Tweets personal","Madhya Pradesh, India",474,10384,9307,2021-04-26 10:44:31,17,2,"In this age of hatred, generosity &amp; kindness is such a breath of fresh air. #COVID19 https://t.co/1McyBGaizB",['COVID19'],https://twitter.com/twitter/statuses/1386632274175741955
4,1386632238742208514,IBADKHAN0110,"| Official Twitter Account Of Ibad Khan |
@ibadkhan0110
|SOCIAL ACTIVIST|","Madhya Pradesh, India",409,615,188,2021-04-26 10:44:22,1,0,"World’s tallest tower Burj khalifa and Adnoc building in Abudhabi lights up to express solidarity with India 
#StayStrongIndia
#saudi_helps_india 
#Dubai 
#सऊदी_अरब 
#SaudiArabia 
Thank you #BurjKhalifa 🙏❣️
#COVID19 
#CovidHelp https://t.co/ZoURtwSrBq","['StayStrongIndia', 'saudi_helps_india', 'Dubai', 'सऊदी_अरब', 'SaudiArabia', 'BurjKhalifa', 'COVID19', 'CovidHelp']",https://twitter.com/twitter/statuses/1386632238742208514
5,1386621562837561345,RajpriyaB,"Proud Indian😊 Amazing, wonderful, fantastic, fabulous
Interested in sharing burning news.

grateful to God🙏",Jabalpur,112,19,234,2021-04-26 10:01:57,0,0,Smokers and vegetarians were found to have a lower positivity rate: Research #indianeedoxygen #coronavirus https://t.co/Dk1qLokcrp,"['indianeedoxygen', 'coronavirus']",https://twitter.com/twitter/statuses/1386621562837561345
6,1386614111484616705,Tanmay0191,"if anybody need any help for anything please ask us we all try hard to solve that....
not something special but things can change...",Bhopal,12,0,44,2021-04-26 09:32:20,2,0,"@Aashwathamaa 
Hii brother need plasma for O+ patient these all are patient details please could you help 🙏🙏🙏❤️❤️❤️ in Bhopal #COVID19 #PlasmaDonor https://t.co/FjdeIurKIW","['COVID19', 'PlasmaDonor']",https://twitter.com/twitter/statuses/1386614111484616705
7,1386612540533215236,bhaskarlivein,"BhaskarLive brings to you latest news from India and the world, breaking round the clock. Latest news from around the world. Follow us for news & updates.",Bhopal,80,919,15407,2021-04-26 09:26:06,0,0,"Actress @hegdepooja has tested #Covid positive. The actress took to social media to share the health update.
Read More............
#PoojaHegde #PoojaHegdeCovidPositive #BollywoodCorona #COVID19 

https://t.co/04zCsA1jpN","['Covid', 'PoojaHegde', 'PoojaHegdeCovidPositive', 'BollywoodCorona', 'COVID19']",https://twitter.com/twitter/statuses/1386612540533215236
8,1386612299343880194,whispersinthec,Exercise your right to know the news before it happens,"Bhopal, Madhya Pradesh",152,1146,12684,2021-04-26 09:25:08,0,0,"OUR PREDICTION CAME TRUE
#Predictions #latestnews #COVIDEmergency2021 #COVID19 #bureaucracy #IAS #IPS #IRS #politicalnews #DelhiCovid #OxygenEmergency #IndiaFightsBack #Sterlite #karnatakalockdown #मोदी_इस्तीफा_दो #OxygenEmergency #OxygenShortage https://t.co/kiq1L0FmgS","['Predictions', 'latestnews', 'COVIDEmergency2021', 'COVID19', 'bureaucracy', 'IAS', 'IPS', 'IRS', 'politicalnews', 'DelhiCovid', 'OxygenEmergency', 'IndiaFightsBack', 'Sterlite', 'karnatakalockdown', 'मोदी_इस्तीफा_दो', 'OxygenEmergency', 'OxygenShortage']",https://twitter.com/twitter/statuses/1386612299343880194
9,1386611513050374145,whispersinthec,Exercise your right to know the news before it happens,"Bhopal, Madhya Pradesh",152,1146,12684,2021-04-26 09:22:01,0,0,"Chief Justice of India, Justice NV Ramana to remain in office for 16 months..
#SupremeCourt #justice #latestnews #COVIDEmergency2021 #COVID19 #bureaucracy #IAS #IPS #IRS #politicalnews #DelhiCovid #OxygenEmergency #IndiaFightsBack #Sterlite #karnatakalockdown #मोदी_इस्तीफा_दो https://t.co/RJdtRboMEY","['SupremeCourt', 'justice', 'latestnews', 'COVIDEmergency2021', 'COVID19', 'bureaucracy', 'IAS', 'IPS', 'IRS', 'politicalnews', 'DelhiCovid', 'OxygenEmergency', 'IndiaFightsBack', 'Sterlite', 'karnatakalockdown', 'मोदी_इस्तीफा_दो']",https://twitter.com/twitter/statuses/1386611513050374145
