,Tweet_ID,username,description,location,following,followers,totaltweets,Time_created,Likes Count,retweetcount,text,hashtags,Link
0,1386666809760354307,Aasthaaatweets,Medical Student | A writer in being | Egalitarian | Retweets are not always endorsements.,"Dehradun, India",496,23,196,2021-04-26 13:01:45,1,0,"No More Space in Cemeteries, No More Fire in Crematoriums. 
#coronavirus #Covid_19 #CoronavirusIndia","['coronavirus', 'Covid_19', 'CoronavirusIndia']",https://twitter.com/twitter/statuses/1386666809760354307
1,1386664053674627075,shikhar_honey,"NEVER RUN AWAY.
Uk 07 rider. 
think tank, psychological.","New Delhi, India",115,16,347,2021-04-26 12:50:48,0,0,"@patcummins30 Thank you so much, let's hope that the money goes in the real workings. #COVID19 #Thankyoupatcummins","['COVID19', 'Thankyoupatcummins']",https://twitter.com/twitter/statuses/1386664053674627075
2,1386661662845902857,SagarHatwal1,"🙏
Proud Citizen Of Indian❤️ 🇮🇳 💪
@Narendramodi 
@adgpi
https://t.co/KiscdwNZNv
🚩🚩 जय श्री राम 🚩🚩",Deharadun Uttrrakhand,2305,1805,9793,2021-04-26 12:41:18,6,4,"#COVID19 
#coronavirus 
On duty 🙏👍
#BePositive https://t.co/wKK1iS6Pxu","['COVID19', 'coronavirus', 'BePositive']",https://twitter.com/twitter/statuses/1386661662845902857
3,1386661256614998021,sdcfoundationuk,Not For Profit | Communications | Capacity Building | Policy & Governance | Focus on Uttarakhand and other Himalayan states,Dehradun,71,1219,1521,2021-04-26 12:39:41,4,0,"Excellent illustration showed by @MoHFW_INDIA in today's press briefing on #COVID19. As one can see, observing 6ft distance with the mask for both infected and non-infected persons puts us at negligible risk. It is highest when no mask!

Mask on, always! https://t.co/1sexcd4dvl",['COVID19'],https://twitter.com/twitter/statuses/1386661256614998021
4,1386642488669085701,NimtHaridwar,In our endeavor to provide opportunities to the youth and society for increasing their awareness on Information Technology we have started NIMT.,"Haridwar, India",0,4,46,2021-04-26 11:25:06,2,0,"The FIGHT against COVID-19 is not OVER yet !
Let us take the Responsibility of beating the virus by staying safe &amp; alert &amp; take care of ourselves.
👉🏻SHARE AS MUCH AS YOU CAN !💛
#togetherwearestronger #StaySafe #COVID19India #COVID19 #nimtharidwar #Haridwar #nimt  #StopTheSpread https://t.co/GXWHZVfkSU","['togetherwearestronger', 'StaySafe', 'COVID19India', 'COVID19', 'nimtharidwar', 'Haridwar', 'nimt', 'StopTheSpread']",https://twitter.com/twitter/statuses/1386642488669085701
5,1386637757737574403,sumitjohri316,Live Free and Enjoy Life. Why worry!,"Dehradun, India",337,55,674,2021-04-26 11:06:18,0,1,"India, we all are in this fight with Corona together! Stay strong and each one of us has a our role in this fight to contain #COVID19 like all of our Corona health warriors. Hope things get better soon &amp; pray for the wellbeing of everyone! #StaySafe #StayStrongIndia #Aum https://t.co/DaxeB4z6Ru","['COVID19', 'StaySafe', 'StayStrongIndia', 'Aum']",https://twitter.com/twitter/statuses/1386637757737574403
6,1386637189358837762,nehadun,"State spokesperson, BJYM|Media Panelist BJP Uk|Senior Vice chairperson, Ficci Flo UK Chapter| Director,Trikon Society|Founder Himalayan kafal 🍒","Dehradun, India",351,1046,2316,2021-04-26 11:04:03,9,4,"Doonites, please return unused oxygen cylinder, don't store them in ur home. People are losing lives.  Have mercy . 🙏

@pahadinaari #uttarkhand #Oxygen #OxygenCylinders #COVID19 #Covid_19 https://t.co/0WZRVrAKWg","['uttarkhand', 'Oxygen', 'OxygenCylinders', 'COVID19', 'Covid_19']",https://twitter.com/twitter/statuses/1386637189358837762
7,1386636939881684993,sdSankalp26,Nationalist 🇮🇳| | Proud Hindu🚩| | Cricket🏏& Football⚽️ enthusiast | | Marvel fanatic| |,Uttarakhand,1329,187,4776,2021-04-26 11:03:03,0,0,@patcummins30 Thank you so much Pat. You're a gem and I am sure we all will win this fight against #Covid19 together.,['Covid19'],https://twitter.com/twitter/statuses/1386636939881684993
8,1386636713171197958,BaymaxTrust,"Baymax Healthcare, Education and Nature Trust.
A Youth led Trust working for a Better Tomorrow🌈❤
Instagram - @_bhent_","Dehradun, India",1,24,157,2021-04-26 11:02:09,1,1,"The health of our ocean is crucial to our survival.
Whether that’s switching to a plasticfree product, or picking up garbage in your neighborhood, or most impactful of all,eating vegan.We can all add up and make a difference.
#bhent_india #vegan #health #Oceans #die #COVID19 #DOT https://t.co/E3D8Q1YaXq","['bhent_india', 'vegan', 'health', 'Oceans', 'die', 'COVID19', 'DOT']",https://twitter.com/twitter/statuses/1386636713171197958
9,1386631338887835655,nirajrawat4,"HAKUNA MATATA 🦮





























































































#जयश्रीराम 🛕","Kotdwara, Uttarakhand",403,19,1582,2021-04-26 10:40:48,0,1,#CM #TirathSinghRawat on Friday announced free #covid19 vaccine for people of 18-45 age group in #Uttarakhand starting from first week of May. https://t.co/4LLOwrBOSQ,"['CM', 'TirathSinghRawat', 'covid19', 'Uttarakhand']",https://twitter.com/twitter/statuses/1386631338887835655
10,1386629865579835396,srbhdsvv,समर्पण...🙏🏻,"Haridwar, India",120,118,163,2021-04-26 10:34:56,0,0,"We are now on the https://t.co/f2WW5PD0eh portal and happy to serve COVID patients in Haridwar and nearby region. @awgpofficial @dsvvofficial  @ias_rawat @deepakrawat_IAS @DmHaridwar @2021mahakumbh @pyptharidwar https://t.co/yJShbKm06d
#tiffinservices #CovidResources #COVID19 https://t.co/0Sd1JFfJ4T","['tiffinservices', 'CovidResources', 'COVID19']",https://twitter.com/twitter/statuses/1386629865579835396
11,1386618840977608707,roorkeeinfo,"Roorkee is on twitter now !!! 😉

🌐insta- @roorkee.info",,55,9,20,2021-04-26 09:51:08,0,0,"UTTARAKHAND
Remdesivir has been provided to the below mentioned medical stores. Please check for the same .
Please approach them with all your documents.
#Remdesivir #Uttarakhand #roorkee #covidsos #COVID19 #remdesivirinjection https://t.co/ybWvWMO00x","['Remdesivir', 'Uttarakhand', 'roorkee', 'covidsos', 'COVID19', 'remdesivirinjection']",https://twitter.com/twitter/statuses/1386618840977608707
12,1386612588881063936,AyushMamgain13,,"Dehradun, India",30,2,13,2021-04-26 09:26:17,0,0,"DEHRADUN 
tbh, there is scarcity of plasma DONORS and I'm not able to find alot.. PLEASE Contact on all contacts related to plasma

+91 74578 03657
RaktVeer Akash Chhabra

+91 98370 77977
Mohit Sethi Doon Blood Donation

These no. Helped a person.

#Dehradun
#plasma #COVID19","['Dehradun', 'plasma', 'COVID19']",https://twitter.com/twitter/statuses/1386612588881063936
13,1386606745481400325,heytejas,Learning all I'm curious about:- | Investing | Finance | Business | Psychology | GameDev | Building network with intellectual people.,Dehradun,409,61,458,2021-04-26 09:03:04,0,0,"Make sure you take care from your part. Will pass through this.

#COVID19 #VaccinesWork https://t.co/9hXqdDkIpW","['COVID19', 'VaccinesWork']",https://twitter.com/twitter/statuses/1386606745481400325
14,1386601203002273794,za1d_rahman,,Dehradun,182,43,181,2021-04-26 08:41:03,1,1,"#Ranchi #Jharkhand
Need Plasma Donor #Blood type: O positive
At: Health Point Hospital
Ranchi
Covid negative report of at least 28days
Primary Number: 7830999168
Illness: Covid
#sosjh #COVID19 #SOSRanchi
 #PlasmaDonor 
 #Ranchi  #PlasmaDonor","['Ranchi', 'Jharkhand', 'Blood', 'sosjh', 'COVID19', 'SOSRanchi', 'PlasmaDonor', 'Ranchi', 'PlasmaDonor']",https://twitter.com/twitter/statuses/1386601203002273794
15,1386598819660324866,AanchalPsd,"Yoga🧘Compassion♥️Nature🌱 Being the change for a healthier & kinder world! Yoga Facilitator, MarCom Consultant (MBA). दिल से पहाड़ी⛰️ #MentalHealthMatters","Dehradun, उत्तराखंड 🇮🇳",317,262,2273,2021-04-26 08:31:35,0,0,"This @BillGates said in 2015! The upcoming wars might not be nuclear, but biological. Where we need a better response system-stronger health system, R&amp;D and reserve medical corps. Are we ready? @PMOIndia @narendramodi
@DefenceMinIndia @MoHFW_INDIA https://t.co/3FQEZX7UET #COVID19",['COVID19'],https://twitter.com/twitter/statuses/1386598819660324866
16,1386598704069500933,drgauravluthra,"Eye Surgeon I Drishti Eye Institute, Dehradun I Chair, Academics, IIRSI | Tennis🎾 Music🎶 Travel 🧳 Photography | World Affairs","Dehradun, India",809,992,3579,2021-04-26 08:31:07,2,1,"One year into the pandemic why is it still so difficult to get #tested for #Covid19 in India?
Anyone? https://t.co/wRKV6QKK3m","['tested', 'Covid19']",https://twitter.com/twitter/statuses/1386598704069500933
17,1386591545298587653,ANKITAJOSHIIND,Life is hard. It’s harder if you’re stupid.,Dehradun,87,17,16,2021-04-26 08:02:40,2,1,"TN govt to allow Sterlite plant to reopen for 4 months to provide oxygen supply.
#Vedanta 
#ModiHaiTohMumkinHai 
#Oxygen 
#BanVedanta 
#COVID19 https://t.co/8LYdWfO0Yh","['Vedanta', 'ModiHaiTohMumkinHai', 'Oxygen', 'BanVedanta', 'COVID19']",https://twitter.com/twitter/statuses/1386591545298587653
