,Tweet_ID,username,description,location,following,followers,totaltweets,Time_created,Likes Count,retweetcount,text,hashtags,Link
0,1386655807517855744,RaktimPratihar,"Everybody should be firm about his/her goal, but flexible about the process of reaching the goal. Every effective performance is based on thorough preparation.",Kolkata,365,150,1058,2021-04-26 12:18:01,0,0,"For election only West Bengal is facing some brutal days right now.. 
But EC wont care abt this.. their suo moto they are following without caring of Lives.. 🙂
Harsh reality in Bengal 
#BengalElection2021 
#COVID19 https://t.co/kaRGzc5Hji","['BengalElection2021', 'COVID19']",https://twitter.com/twitter/statuses/1386655807517855744
1,1386655509873258497,MeSunnyRajput,#Learner / #Investor / #Bitcoin,"Patna , Kolkata",5,77,2306,2021-04-26 12:16:51,0,0,"All blue prints failed regarding Covid guidelines it's failure of Bihar Govt..
No beds r available in many hospital in patna.. completely mismanagement of oxygen supply chain, results - deaths count rises.
#Savebihar #OxygenShortage #COVID19 #CovidIndia
@yadavtejashwi","['Savebihar', 'OxygenShortage', 'COVID19', 'CovidIndia']",https://twitter.com/twitter/statuses/1386655509873258497
2,1386654610471804932,np_grwl,"very much interested in all subjects,sciences,mythology.
READ MY ALL OLD TWEETS.FIND A LOT OF NEW KNOWLEDGE STUFF/OTHERS.SOME YET NOT DISCOVERED/INVENTED/parody","Kolkata, India",4999,1764,89339,2021-04-26 12:13:16,0,2,"@narendramodi Pl take additional care.
So that armed forces not to get #COVID19 
@PMOIndia 
@narendramodi 
@rajnathsingh",['COVID19'],https://twitter.com/twitter/statuses/1386654610471804932
3,1386653268793643014,ArchaeoNomad,#CoFounder + Innovation Leader @immersivetrails with @chelsea_mcgill4| PhD #Archaeology @UniofExeter | Building the next big thing in ethical #travel| He/Him/Dr,"Kolkata, India",930,4054,13964,2021-04-26 12:07:56,3,0,"Got @chelsea_mcgill4 &amp; my #COVID19 test results back, and thankfully it came back negative. We are going to test again in a few days because one of our colleagues tested negative first and then positive. But this is a personal relief for now.",['COVID19'],https://twitter.com/twitter/statuses/1386653268793643014
4,1386649078721822727,sikharendra,"Learning Professional, book worm and a gadget buff! Oh and a wannabe photographer!","Kolkata, India",1131,145,1027,2021-04-26 11:51:17,0,0,Wish most of your anchors mask up and stop peddling hate and filth @CNNnews18 #MaskUpIndia #GodiMedia #COVID19 #WhoFailedIndia https://t.co/Ks2LHtoAYe,"['MaskUpIndia', 'GodiMedia', 'COVID19', 'WhoFailedIndia']",https://twitter.com/twitter/statuses/1386649078721822727
5,1386648550851760130,AdhritB,"Cricket Enthusiast 🏏🏏
Gaming YouTuber 🎮🎮
@BCCI 🇮🇳❤️ @KKRiders 💜💛 @FCBarcelona ❤️💙🧡💛 @ManCity 💙🤍","Kolkata, India",601,23,227,2021-04-26 11:49:11,1,0,You are winning our hearts in every aspect 💜💛❤️🏏👑 We love you 3000 Patty @patcummins30 #PMCaresFund #COVIDEmergency2021 #COVID19 #Covid_19 https://t.co/iDvRS05Gct,"['PMCaresFund', 'COVIDEmergency2021', 'COVID19', 'Covid_19']",https://twitter.com/twitter/statuses/1386648550851760130
6,1386647938609291267,wetheworldmagz,"Razor sharp focus on Global affairs, World Politics, Breaking News, Environment, Lifestyle, Health and more. Read the Difference.","Kolkata, West Bengal, India",721,143,5220,2021-04-26 11:46:45,0,0,"Outrage after #India orders #Twitter to remove critical #COVID19  

Read more: https://t.co/uadwFknAe1 https://t.co/4LgBTToExY","['India', 'Twitter', 'COVID19']",https://twitter.com/twitter/statuses/1386647938609291267
7,1386647728827117571,derekobrienmp,"Father,son,husband,brother,friend, MP,Parliamentary party leader (Rajya Sabha) @AITCofficial Author of #InsideParliament Insta: https://t.co/0Xg1BiF2sB","Kolkata, India",698,1236444,42704,2021-04-26 11:45:55,410,145,"Meet the EC trio (pic) who meekly did what MO-SHA commanded. Eight phase #BengalElection2021 through March-April in the midst of #COVID19 
Did not reconsider decision despite almost daily pleas. 

If your decision caused even one #CovidIndia death, U have BLOOD on your hands https://t.co/AzBz53wo1r","['BengalElection2021', 'COVID19', 'CovidIndia']",https://twitter.com/twitter/statuses/1386647728827117571
8,1386647104953622540,AajTakBangla,"Aaj Tak Bangla covers breaking news, latest news in politics, sports & cinema. 
Login- https://t.co/a5c0WDP522
https://t.co/4oYCjw2qVv
https://t.co/FsytgdIXJx",Kolkata,21,1187,4894,2021-04-26 11:43:27,0,0,"GROOM ARRESTED FOR BRINGING MORE THAN 100 PEOPLE IN MARRIAGE |  কোভিড বিধি না মেনে বিয়ে, গ্রেফতার বর

#coronavirus #CoronavirusPandemic #COVID19 

https://t.co/i7SWJz0Nfx","['coronavirus', 'CoronavirusPandemic', 'COVID19']",https://twitter.com/twitter/statuses/1386647104953622540
9,1386646868277403652,Nav_Manjari,"Nav Manjari is a youth-run NGO, based in Delhi and Kolkata. 
📍Current Initiative -  Menstrual Hygiene Drive | COVID, Flood Relief | Cyclone Relief #navmanjari","Kolkata, India",230,209,353,2021-04-26 11:42:30,0,0,"MASK UP, STAY AT HOME AND STEP OUT ONLY IF URGENT. 

#CovidHelp #Corona2ndWave #COVIDEmergency2021 #CovidSOS #coronavirus https://t.co/INu14iYtcO","['CovidHelp', 'Corona2ndWave', 'COVIDEmergency2021', 'CovidSOS', 'coronavirus']",https://twitter.com/twitter/statuses/1386646868277403652
10,1386645800730517505,bladeit,Ex- #Movinture #Tiyo #TheDB | Now Building @PlanetSetuHQ | Part time Menu Curator @Ahabiryaani | Wannabe Podcaster #OldRecords. 🏏 is Life. Views are personal.,"20.5937° N, 78.9629° E",897,1350,27322,2021-04-26 11:38:16,0,0,"Lockdown is not the solution. This will kill the almost dying MSME sector. Rapid vaccination, maintain strict Covid protocols &amp; all non essential services should be barred. Ensure all IT offices works out of home. Lockdown is not the solution. Not at all. #COVID19 https://t.co/nFpsytVVTw",['COVID19'],https://twitter.com/twitter/statuses/1386645800730517505
11,1386645021080711172,SportslightMed_,SLM is where every sports enthusiasts meet to enlighten with facts from the world of sports.,"Kolkata, India",166,62,2402,2021-04-26 11:35:10,1,0,"Thank you Cummins ❤️

#patcummins #cummins #KKRHaiTaiyaar #korbolorbojeetbo #kkr #knight #covid #COVID19 #oxygen #standwithindia #staystrongindia #OxygenShortage #sportslightmedia https://t.co/BlmHUc7dMi","['patcummins', 'cummins', 'KKRHaiTaiyaar', 'korbolorbojeetbo', 'kkr', 'knight', 'covid', 'COVID19', 'oxygen', 'standwithindia', 'staystrongindia', 'OxygenShortage', 'sportslightmedia']",https://twitter.com/twitter/statuses/1386645021080711172
12,1386644470406385667,narendra52,Electrical Engr. Spiritually inclined & connected to Gyangunj thru a Saint who visited Gyangunj 3 times. BJP Supporter. NaMo Fan,Kolkata,5001,3018,93653,2021-04-26 11:32:59,5,3,"As India continues to witness a sharp rise in #COVID19 cases, it's time we take COVID precautions seriously. Continue wearing a mask, maintaining 2 Gaj ki Doori &amp; washing your hands regularly. https://t.co/8xb0MHKObn",['COVID19'],https://twitter.com/twitter/statuses/1386644470406385667
13,1386644221835169797,amtanuroy,"Rotarian, Sports, Movie & Music buff, Foodie, Techie, childhood fan of Amitabh Bachchan & Sachin Tendulkar, East Bengal FC & Man Utd fan, avid traveller, etc..","Kolkata, India",333,455,30261,2021-04-26 11:31:59,0,0,"I used to believe that prayer changes things, but now I know that prayer changes us and we change things.
 #coronavirus",['coronavirus'],https://twitter.com/twitter/statuses/1386644221835169797
14,1386642939544162305,MeghaKejriwal19,Freelance journalist | Former Intern @indiatoday Kolkata | Previously Reporter @taazatv | Follow me on https://t.co/aYDytCfReF… MK tweet,"Kolkata, India",361,136,3610,2021-04-26 11:26:54,1,0,Women can take #COVID19 vaccine during menstruation: Govt,['COVID19'],https://twitter.com/twitter/statuses/1386642939544162305
15,1386642282204463108,seemapost,,"Kolkata, India",328,25,3060,2021-04-26 11:24:17,1,0,"@AtishiAAP commendable #RealTime  #coronavirus  #Beds  dashboard by #Delhi government . I wish we could have a central control room for #medicine #Oxygen for patients to access 
#COVID19 
#coviddelhi","['RealTime', 'coronavirus', 'Beds', 'Delhi', 'medicine', 'Oxygen', 'COVID19', 'coviddelhi']",https://twitter.com/twitter/statuses/1386642282204463108
16,1386641727465791488,Alok_kr999,Youtubers having 1M subs,"Jamshedpur, India",26,74,726,2021-04-26 11:22:05,0,1,"@DCEastSinghbhum  @HemantSorenJMM  @BannaGupta76  there is huge shortage of Corona vaccine in Jamshedpur , specially Baridih , birsanagar . Please do something and available it #CoronavirusVaccine  #COVID19 #Covishield #CoronavirusPandemic https://t.co/iuuWu3Q04n","['CoronavirusVaccine', 'COVID19', 'Covishield', 'CoronavirusPandemic']",https://twitter.com/twitter/statuses/1386641727465791488
17,1386640546647531530,DrAindriSanyal,Dr. Aindri Sanyal | #IVF Specialist | Assisted reproductive technology | #Infertilitytreatment | Male Infertility Service Kolkata | #Testtube baby centre,"Kolkata, India",986,595,213,2021-04-26 11:17:23,0,0,"The second wave of Corona is going to be more dangerous.
#COVID19 infected people may have different symptoms, these are the most seen in those who have been detected COVID positive. Find out what those symptoms are.
#MaskUpIndia #Covid19India #COVIDSecondWave #Covidawareness https://t.co/v6WENULQQ8","['COVID19', 'MaskUpIndia', 'Covid19India', 'COVIDSecondWave', 'Covidawareness']",https://twitter.com/twitter/statuses/1386640546647531530
18,1386639870576062476,MalaiMin2,"Youtuber.
Faltu aadmi with faltu humour.","Kolkata, India",18,10,49,2021-04-26 11:14:42,0,0,"https://t.co/vRZKptN3Pi

Covid -19 Vaccination in our area.

#coronavirus #vaccine #Govt https://t.co/wT9R5Ofg3z","['coronavirus', 'vaccine', 'Govt']",https://twitter.com/twitter/statuses/1386639870576062476
19,1386639033762074627,ridzsups,"Data analyst,Baker, Entrepreneur #food#baker#easy recipes#dessert recipes","Kolkata, India",35,11,615,2021-04-26 11:11:22,0,0,"1.Use masks properly
2.Maintain social distancing 
3.Don't go out unnecessarily 
4. Get vaccinated 
#COVID19",['COVID19'],https://twitter.com/twitter/statuses/1386639033762074627
20,1386638214983790593,AnirbanReach,"I sell glasses to blind people in this city!
मैं इस शहर में अंधे लोगों को चश्मा बेचता हूं!",Kolkata,42,0,291,2021-04-26 11:08:07,1,1,"People are for people
Life is for life
What a little sympathy
People can't get friends.
#COVID19 #COVIDEmergency2021 #karnatakalockdown #Delhi #ModiHaiTohMumkinHai #india #lockdown #Corona #Oxygen #NoVoteTo_EvilModi #IndiaFightsCOVID19 #covid #StaySafe #SOSDelhi #OxygenEmergency","['COVID19', 'COVIDEmergency2021', 'karnatakalockdown', 'Delhi', 'ModiHaiTohMumkinHai', 'india', 'lockdown', 'Corona', 'Oxygen', 'NoVoteTo_EvilModi', 'IndiaFightsCOVID19', 'covid', 'StaySafe', 'SOSDelhi', 'OxygenEmergency']",https://twitter.com/twitter/statuses/1386638214983790593
21,1386636811707977737,ridzsups,"Data analyst,Baker, Entrepreneur #food#baker#easy recipes#dessert recipes","Kolkata, India",35,11,615,2021-04-26 11:02:33,0,0,Please read carefully #COVID19 #willhelp #CoronavirusPandemic #RETWEEET https://t.co/0oLM5HLqpS,"['COVID19', 'willhelp', 'CoronavirusPandemic', 'RETWEEET']",https://twitter.com/twitter/statuses/1386636811707977737
22,1386636177202049027,AnirbanReach,"I sell glasses to blind people in this city!
मैं इस शहर में अंधे लोगों को चश्मा बेचता हूं!",Kolkata,42,0,291,2021-04-26 11:00:01,1,1,"Please retweet people's urgent appeal tweets and increase the richness of their messages. If possible, extend a helping hand. Thanks
#COVID19 #COVIDEmergency2021 #karnatakalockdown #ModiHaiTohMumkinHai #india #lockdown #Corona #NoVoteTo_EvilModi #IndiaFightsCOVID19 #StaySafe","['COVID19', 'COVIDEmergency2021', 'karnatakalockdown', 'ModiHaiTohMumkinHai', 'india', 'lockdown', 'Corona', 'NoVoteTo_EvilModi', 'IndiaFightsCOVID19', 'StaySafe']",https://twitter.com/twitter/statuses/1386636177202049027
