,country_code,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26
0,in-py,1,12,5,6,18,7,9,5,8
1,in-ld,11,29,18,24,24,25,33,32,18
2,in-wb,0,0,29,120,154,107,145,132,92
3,in-or,0,0,0,0,111,159,128,127,101
4,in-br,33,94,72,51,63,46,69,45,48
5,in-sk,2,9,8,2,10,2,6,3,3
6,in-ct,14,36,20,14,58,30,35,18,18
7,in-tn,22,75,57,57,67,59,106,80,80
8,in-mp,14,38,29,21,35,20,34,27,33
9,in-2984,0,0,0,0,0,0,0,46,53
10,in-ga,19,43,59,27,55,31,51,47,26
11,in-nl,1,12,5,6,18,7,9,5,8
12,in-mn,1,13,7,8,1,7,7,3,8
13,in-ar,2,6,9,5,3,4,4,2,1
14,in-mz,4,1,1,0,0,2,2,1,2
15,in-tr,15,30,19,17,24,21,32,36,34
16,in-3464,2,2,1,1,4,2,0,2,1
17,in-dl,0,0,0,0,0,0,0,0,698
18,in-hr,14,32,34,23,39,32,30,21,25
19,in-ch,0,0,0,34,170,155,148,117,108
20,in-hp,0,0,83,94,146,117,116,83,93
21,in-jk,0,16,98,77,93,87,75,87,78
22,in-kl,24,67,38,54,43,44,57,51,40
23,in-ka,20,45,61,28,57,33,53,49,32
24,in-dn,0,0,0,31,170,155,148,116,113
25,in-mh,17,52,77,82,47,50,46,29,43
26,in-as,0,0,0,74,136,117,115,83,113
27,in-ap,7,18,16,12,22,17,16,19,28
28,in-ml,4,12,9,5,6,2,3,5,3
29,in-pb,0,0,110,89,134,103,111,82,93
30,in-rj,60,92,82,60,75,79,80,70,81
31,in-up,0,15,157,105,114,98,126,81,88
32,in-ut,17,31,35,37,25,47,26,31,21
33,in-jh,16,38,32,19,43,22,35,31,34
